,Unnamed: 0,input_data,output_data,received_data_real,received_data_imag,transmitted_data_real,transmitted_data_imag,encoded_data_real,encoded_data_imag,decoded_data_real,decoded_data_imag
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,250,247,0.6638935208320618,-0.013224259018898009,0.36149802803993225,0.37035509943962097,-1.4142135381698608,-1.4142135381698608,1.4142135381698608,1.4142135381698608
63,63,106,107,0.8277958631515503,0.3714153468608856,-0.14844070374965668,0.6223652958869934,-1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
66,66,199,208,0.3611524999141693,-0.11245649307966232,-0.569405734539032,0.6489220857620239,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608
80,80,39,49,-0.4180702567100525,0.8668287992477417,0.021619392558932304,-0.09430942684412004,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608
83,83,137,127,-0.541424572467804,0.1281013786792755,-0.7122847437858582,0.30915793776512146,-1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
85,85,220,213,-0.8645380139350891,0.042872704565525055,0.3154321610927582,0.2930150926113129,-1.4142135381698608,-1.4142135381698608,1.4142135381698608,1.4142135381698608
109,109,120,120,0.3821038007736206,-0.878529965877533,-0.6485723257064819,-0.23655860126018524,-1.4142135381698608,1.4142135381698608,1.4142135381698608,-1.4142135381698608
127,127,49,54,0.9075157046318054,-0.3605717420578003,-0.027589941397309303,-0.10615944117307664,1.4142135381698608,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608
171,171,235,241,0.7205061912536621,-0.1829533576965332,0.01733088493347168,-0.8185852169990541,-1.4142135381698608,-1.4142135381698608,1.4142135381698608,1.4142135381698608
187,187,249,241,0.8478836417198181,1.194269061088562,-0.33553436398506165,-0.07695569843053818,-1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608
192,192,137,141,-1.04226815700531,-0.4940959513187408,0.2564348578453064,0.03991060331463814,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608,1.4142135381698608
222,222,70,80,0.5348987579345703,-0.3130195438861847,-0.4577062726020813,0.412124365568161,1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
251,251,98,103,-0.5281999707221985,-0.7811290621757507,-0.31213197112083435,0.3121320307254791,-1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
253,253,165,173,-0.4444059133529663,0.6701468229293823,-0.11406522244215013,0.1080794557929039,1.4142135381698608,1.4142135381698608,-1.4142135381698608,1.4142135381698608
268,268,117,122,-0.2084530144929886,-0.10952958464622498,0.6629859805107117,0.2934342324733734,1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
295,295,98,95,-0.33850473165512085,-0.540794312953949,-0.2873842716217041,0.33107447624206543,-1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
303,303,100,95,-0.2737965881824493,-0.011979744769632816,0.5317431688308716,0.18036417663097384,-1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
310,310,17,12,0.02272649109363556,0.2176300883293152,-0.9417497515678406,-0.5105127692222595,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608
319,319,134,127,0.08293165266513823,-0.6313940286636353,0.06619071960449219,1.0447825193405151,1.4142135381698608,-1.4142135381698608,-1.4142135381698608,1.4142135381698608
380,380,91,83,-0.224544420838356,0.4094260334968567,0.0292893648147583,0.2535533905029297,-1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
412,412,130,131,-0.8066069483757019,0.7498453855514526,0.01733088493347168,-0.8185852169990541,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608,1.4142135381698608
413,413,130,131,-0.8066069483757019,0.7498453855514526,0.219891220331192,-0.1783227175474167,1.4142135381698608,-1.4142135381698608,-1.4142135381698608,1.4142135381698608
430,430,154,156,0.21517588198184967,0.15884467959403992,-0.19927679002285004,0.4693305492401123,-1.4142135381698608,1.4142135381698608,-1.4142135381698608,1.4142135381698608
438,438,120,120,-0.624579131603241,0.4347344636917114,-0.2634550631046295,0.022891772910952568,-1.4142135381698608,1.4142135381698608,1.4142135381698608,-1.4142135381698608
447,447,205,215,-0.3651362061500549,0.09142212569713593,-0.14724735915660858,0.2926383912563324,-1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608
453,453,148,156,-0.4128183126449585,0.7086248397827148,0.01826230995357037,-0.9652908444404602,1.4142135381698608,-1.4142135381698608,-1.4142135381698608,1.4142135381698608
461,461,111,113,-0.4119952619075775,0.3893938064575195,-0.11406522244215013,0.1080794557929039,-1.4142135381698608,1.4142135381698608,1.4142135381698608,-1.4142135381698608
472,472,134,131,-0.22580477595329285,-0.4531754851341248,0.219891220331192,-0.1783227175474167,1.4142135381698608,-1.4142135381698608,-1.4142135381698608,1.4142135381698608
487,487,117,122,-0.3747082650661469,-0.8061008453369141,0.219891220331192,-0.1783227175474167,1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
493,493,158,166,0.6142824292182922,0.6358077526092529,-0.06920118629932404,-0.004816699307411909,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608,1.4142135381698608
524,524,238,237,-0.3082408607006073,-0.2283327579498291,-0.013085898943245413,-0.28652656078338623,-1.4142135381698608,-1.4142135381698608,1.4142135381698608,1.4142135381698608
541,541,254,244,0.12506714463233948,-1.1591837406158447,0.19286014139652247,-0.5271487236022949,1.4142135381698608,-1.4142135381698608,1.4142135381698608,1.4142135381698608
548,548,120,127,-0.29469144344329834,-0.5358245372772217,0.19342593848705286,-0.430892676115036,1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
