,Unnamed: 0,input_data,output_data,received_data_real,received_data_imag,transmitted_data_real,transmitted_data_imag,encoded_data_real,encoded_data_imag,decoded_data_real,decoded_data_imag
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,163,163,0.4556379318237305,-0.1576201617717743,-0.0018628359539434316,0.07478401809930801,-1.0,0.0,1.0,0.0
19,19,49,43,-0.4180941283702849,0.4644355177879334,0.3301547467708588,0.12983833253383634,-1.0,0.0,-1.0,0.0
25,25,216,208,-0.5692800879478455,0.3695676922798157,-0.5045199990272522,-0.2414213716983795,-1.0,0.0,1.0,0.0
55,55,101,105,0.2468219697475433,0.21191853284835813,-0.13357071578502655,-0.3919356763362885,1.0,0.0,-1.0,0.0
102,102,191,192,0.3743647933006287,-0.17949897050857544,0.02988975122570992,-0.10240411758422853,1.0,0.0,1.0,0.0
103,103,191,192,0.3743647933006287,-0.17949897050857544,0.02988975122570992,-0.10240411758422853,1.0,0.0,1.0,0.0
119,119,57,55,0.5817087888717651,0.3322589993476868,0.16131703555583954,0.22708559036254886,1.0,0.0,-1.0,0.0
127,127,131,132,-0.3575233221054077,-0.3572902083396912,-0.44676145911216736,0.06064964085817338,-1.0,0.0,1.0,0.0
137,137,78,71,-0.011221153661608696,0.5112248063087463,-0.029426759108901024,-0.3015754818916321,-1.0,0.0,-1.0,0.0
143,143,101,107,0.12370731681585312,-0.28817853331565857,-0.2293085902929306,-0.40933045744895935,-1.0,0.0,-1.0,0.0
173,173,94,102,0.2742501795291901,0.2638037204742432,-0.3573771417140961,-0.06458839029073715,1.0,0.0,-1.0,0.0
180,180,101,102,-0.22874945402145386,-0.06468286365270615,0.30000001192092896,0.10000000149011612,-1.0,0.0,-1.0,0.0
182,182,108,102,-0.07418032735586166,-0.523554801940918,-0.07856949418783188,-0.21727345883846286,1.0,0.0,-1.0,0.0
183,183,108,102,0.04076429456472397,0.08073228597640991,-0.16144810616970062,-0.2041597366333008,-1.0,0.0,-1.0,0.0
214,214,204,194,-0.4744388461112976,0.4450536072254181,0.19475021958351132,-0.20764367282390594,1.0,0.0,1.0,0.0
253,253,45,52,0.3034530878067017,0.0707031786441803,0.13800568878650665,0.3245781362056732,-1.0,0.0,-1.0,0.0
261,261,27,19,-0.14036135375499725,0.07621549814939499,-0.1790960133075714,-0.16602261364459991,1.0,0.0,-1.0,0.0
270,270,22,19,-0.4194928109645844,0.7825402021408081,-0.4000000059604645,0.0,1.0,0.0,-1.0,0.0
272,272,13,19,-0.4301451146602631,-0.4869089722633362,0.046071793884038925,-0.4413614869117737,1.0,0.0,-1.0,0.0
281,281,128,133,0.23092643916606906,-0.6636873483657837,-0.05159207060933113,0.11228401958942412,-1.0,0.0,1.0,0.0
282,282,136,133,0.2448525577783585,-0.39501914381980896,0.1876433938741684,-0.09093748778104782,-1.0,0.0,1.0,0.0
294,294,82,72,-0.7548513412475586,-0.4719420075416565,-0.2692979574203491,0.3617380261421204,-1.0,0.0,-1.0,0.0
303,303,67,72,-0.055034197866916656,-0.05800440162420273,0.07856949418783188,-0.21727345883846286,-1.0,0.0,-1.0,0.0
309,309,245,253,-0.4769332706928253,-0.5646131038665771,-0.4027804434299469,-0.20566649734973907,1.0,0.0,1.0,0.0
310,310,245,253,-0.4769332706928253,-0.5646131038665771,-0.4027804434299469,-0.20566649734973907,1.0,0.0,1.0,0.0
312,312,244,253,0.4602185189723969,-0.8906486630439758,0.05743154510855675,-0.10440156608819963,1.0,0.0,1.0,0.0
328,328,192,191,-0.6761899590492249,-0.06532157957553864,0.31543219089508057,0.29301512241363525,-1.0,0.0,1.0,0.0
340,340,189,191,-0.6190178394317627,0.34929728507995605,0.06539003551006317,-0.043695341795682914,1.0,0.0,1.0,0.0
341,341,184,191,-0.3486565947532654,0.004908476024866104,0.16498689353466034,0.10702065378427504,1.0,0.0,1.0,0.0
342,342,184,191,-0.5723088383674622,-0.5869631767272949,0.0055887908674776545,-0.4890051782131195,1.0,0.0,1.0,0.0
344,344,186,191,-0.3969990611076355,0.5317429304122925,0.4834698736667633,0.23202328383922574,-1.0,0.0,1.0,0.0
355,355,136,133,0.5645604133605957,-0.5065685510635376,-0.011487364768981934,-0.04222260788083077,-1.0,0.0,1.0,0.0
366,366,131,133,-0.625006377696991,0.2353716343641281,-0.11444299668073656,-0.0675681009888649,1.0,0.0,1.0,0.0
373,373,127,133,0.3709547519683838,-0.268686980009079,-0.5695518255233765,0.19375494122505188,1.0,0.0,1.0,0.0
378,378,138,133,0.04962453618645668,0.1371915638446808,0.0246453769505024,0.0013951420551165938,-1.0,0.0,1.0,0.0
382,382,245,245,-0.5726045966148376,0.04413771629333496,0.18284271657466888,0.22928932309150696,1.0,0.0,1.0,0.0
410,410,177,180,-0.3674334287643433,0.08030697703361511,-0.24496833980083466,0.14762775599956512,1.0,0.0,1.0,0.0
418,418,33,43,0.41079604625701904,0.17678652703762054,0.0018657267792150376,0.016858143731951714,-1.0,0.0,-1.0,0.0
422,422,33,43,0.07056888192892075,0.12728433310985565,-0.02928931824862957,-0.18284271657466888,1.0,0.0,-1.0,0.0
436,436,198,192,-1.0137274265289309,0.1732659637928009,0.11392980068922046,-0.08761367946863174,1.0,0.0,1.0,0.0
446,446,200,192,-0.052356120198965066,0.1088346615433693,-0.3771638572216034,-0.00582600850611925,-1.0,0.0,1.0,0.0
461,461,216,221,0.3029881715774536,-0.10513979196548462,-0.2836230993270874,0.12501637637615204,-1.0,0.0,1.0,0.0
464,464,227,221,0.16040700674057007,0.3223303258419037,0.2004818171262741,-0.3649000823497772,1.0,0.0,1.0,0.0
473,473,86,90,0.20588845014572146,-0.04419684410095215,0.4508679509162903,0.2368588000535965,-1.0,0.0,-1.0,0.0
501,501,86,95,-0.1878250390291214,-0.4961607456207275,-0.09249015897512436,0.1449255794286728,1.0,0.0,-1.0,0.0
509,509,101,95,-0.6167850494384766,0.6785062551498413,-0.13072863221168518,-0.24448762834072116,-1.0,0.0,-1.0,0.0
510,510,86,95,-0.7921628355979919,0.16821782290935516,0.4357688128948212,-0.12689445912837982,-1.0,0.0,-1.0,0.0
517,517,119,121,0.6095301508903503,-0.39112937450408936,-0.13065628707408905,-0.281056672334671,-1.0,0.0,-1.0,0.0
