Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad
Female,21,1.62,64,yes,no,2,3,Sometimes,no,2,no,0,1,no,Public_Transportation,Normal_Weight
Female,21,1.52,56,yes,no,3,3,Sometimes,yes,3,yes,3,0,Sometimes,Public_Transportation,Normal_Weight
Male,23,1.8,77,yes,no,2,3,Sometimes,no,2,no,2,1,Frequently,Public_Transportation,Normal_Weight
Male,27,1.8,87,no,no,3,3,Sometimes,no,2,no,2,0,Frequently,Walking,Overweight_Level_I
Male,22,1.78,89.8,no,no,2,1,Sometimes,no,2,no,0,0,Sometimes,Public_Transportation,Overweight_Level_II
Male,29,1.62,53,no,yes,2,3,Sometimes,no,2,no,0,0,Sometimes,Automobile,Normal_Weight
Female,23,1.5,55,yes,yes,3,3,Sometimes,no,2,no,1,0,Sometimes,Motorbike,Normal_Weight
Male,22,1.64,53,no,no,2,3,Sometimes,no,2,no,3,0,Sometimes,Public_Transportation,Normal_Weight
Male,24,1.78,64,yes,yes,3,3,Sometimes,no,2,no,1,1,Frequently,Public_Transportation,Normal_Weight
Male,22,1.72,68,yes,yes,2,3,Sometimes,no,2,no,1,1,no,Public_Transportation,Normal_Weight
Male,26,1.85,105,yes,yes,3,3,Frequently,no,3,no,2,2,Sometimes,Public_Transportation,Obesity_Type_I
Female,21,1.72,80,yes,yes,2,3,Frequently,no,2,yes,2,1,Sometimes,Public_Transportation,Overweight_Level_II
Male,22,1.65,56,no,no,3,3,Sometimes,no,3,no,2,0,Sometimes,Public_Transportation,Normal_Weight
Male,41,1.8,99,no,yes,2,3,Sometimes,no,2,no,2,1,Frequently,Automobile,Obesity_Type_I
Male,23,1.77,60,yes,yes,3,1,Sometimes,no,1,no,1,1,Sometimes,Public_Transportation,Normal_Weight
Female,22,1.7,66,yes,no,3,3,Always,no,2,yes,2,1,Sometimes,Public_Transportation,Normal_Weight
Male,27,1.93,102,yes,yes,2,1,Sometimes,no,1,no,1,0,Sometimes,Public_Transportation,Overweight_Level_II
Female,29,1.53,78,no,yes,2,1,Sometimes,no,2,no,0,0,no,Automobile,Obesity_Type_I
Female,30,1.71,82,yes,yes,3,4,Frequently,yes,1,no,0,0,no,Automobile,Overweight_Level_II
Female,23,1.65,70,yes,no,2,1,Sometimes,no,2,no,0,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,22,1.65,80,yes,no,2,3,Sometimes,no,2,no,3,2,no,Walking,Overweight_Level_II
Female,52,1.69,87,yes,yes,3,1,Sometimes,yes,2,no,0,0,no,Automobile,Obesity_Type_I
