% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.026	1	2	3	7	1	28	2196	0	0	0
0.026	2	4	3	7	1	28	2196	0	0	0
0.027	1	1	3	8	2	28	2196	0	0	0
0.027	2	3	3	8	2	28	2196	0	0	0
0.028	2	5	3	9	3	22	1383	0	0	0
0.033	1	2	4	4	1	28	2196	0	0	0
0.033	2	4	4	4	1	28	2196	0	0	0
0.034	1	1	4	5	2	28	2196	0	0	0
0.034	2	3	4	5	2	28	2196	0	0	0
0.04	1	2	5	1	1	28	2196	0	0	0
0.04	2	4	5	1	1	28	2196	0	0	0
0.041	1	1	5	2	2	28	2196	0	0	0
0.041	2	3	5	2	2	28	2196	0	0	0
0.048	1	1	5	9	2	28	2196	0	0	0
0.048	2	3	5	9	2	28	2196	0	0	0
0.175	1	1	18	6	2	28	2196	0	0	0
0.176	1	2	18	7	1	28	2196	0	0	0
0.176	2	5	18	7	3	28	2196	0	0	0
0.177	1	1	18	8	2	28	2196	0	0	0
0.177	2	4	18	8	1	28	2196	0	0	0
0.178	2	3	18	9	2	28	2196	0	0	0
0.183	1	2	19	4	1	28	2196	0	0	0
0.183	2	5	19	4	3	28	2196	0	0	0
0.184	1	1	19	5	2	28	2196	0	0	0
0.184	2	4	19	5	1	28	2196	0	0	0
0.19	1	2	20	1	1	28	2196	0	0	0
0.19	2	5	20	1	3	28	2196	0	0	0
0.191	1	1	20	2	2	28	2196	0	0	0
0.194	2	4	20	5	1	28	2196	0	0	0
0.197	1	2	20	8	1	28	2196	0	0	0
0.304	2	3	31	5	2	28	2196	0	0	0
0.324	2	4	33	5	1	28	2196	0	0	0
0.326	1	2	33	7	1	28	2196	0	0	0
0.326	2	5	33	7	3	28	2196	0	0	0
0.327	1	1	33	8	2	28	2196	0	0	0
0.327	2	3	33	8	2	28	2196	0	0	0
0.328	2	4	33	9	1	28	2196	0	0	0
0.33	1	1	34	1	2	28	2196	0	0	0
0.333	1	2	34	4	1	28	2196	0	0	0
0.333	2	5	34	4	3	28	2196	0	0	0
0.334	1	1	34	5	2	28	2196	0	0	0
0.334	2	3	34	5	2	28	2196	0	0	0
0.34	1	2	35	1	1	28	2196	0	0	0
0.34	2	5	35	1	3	28	2196	0	0	0
0.341	1	1	35	2	2	28	2196	0	0	0
0.341	2	3	35	2	2	28	2196	0	0	0
0.347	1	2	35	8	1	28	2196	0	0	0
0.425	1	2	43	6	1	28	2196	0	0	0
0.459	1	2	46	10	1	28	2196	0	0	0
0.473	2	4	48	4	1	28	2196	0	0	0
0.476	1	1	48	7	2	28	2196	0	0	0
0.476	2	5	48	7	3	28	2196	0	0	0
0.477	1	2	48	8	1	28	2196	0	0	0
0.477	2	3	48	8	2	28	2196	0	0	0
0.478	1	1	48	9	2	28	2196	0	0	0
0.478	2	4	48	9	1	28	2196	0	0	0
0.483	1	1	49	4	2	28	2196	0	0	0
0.484	1	2	49	5	1	28	2196	0	0	0
0.484	2	3	49	5	2	28	2196	0	0	0
0.485	1	1	49	6	2	28	2196	0	0	0
0.485	2	4	49	6	1	28	2196	0	0	0
0.491	1	2	50	2	1	28	2196	0	0	0
0.491	2	3	50	2	2	28	2196	0	0	0
0.492	2	4	50	3	1	28	2196	0	0	0
0.498	1	2	50	9	1	28	2196	0	0	0
0.498	2	3	50	9	2	28	2196	0	0	0
0.531	1	2	54	2	1	28	2196	0	0	0
0.535	2	3	54	6	2	28	2196	0	0	0
0.558	2	3	56	9	2	28	2196	0	0	0
0.623	2	4	63	4	1	28	2196	0	0	0
0.626	1	1	63	7	2	28	2196	0	0	0
0.626	2	5	63	7	3	28	2196	0	0	0
0.627	1	2	63	8	1	28	2196	0	0	0
0.627	2	3	63	8	2	28	2196	0	0	0
0.628	2	4	63	9	1	28	2196	0	0	0
0.63	1	2	64	1	1	28	2196	0	0	0
0.633	1	1	64	4	2	28	2196	0	0	0
0.633	2	5	64	4	3	28	2196	0	0	0
0.634	1	2	64	5	1	28	2196	0	0	0
0.634	2	3	64	5	2	28	2196	0	0	0
0.64	1	1	65	1	2	28	2196	0	0	0
0.64	2	5	65	1	3	28	2196	0	0	0
0.641	1	2	65	2	1	28	2196	0	0	0
0.641	2	3	65	2	2	28	2196	0	0	0
0.647	1	1	65	8	2	28	2196	0	0	0
0.647	2	5	65	8	3	28	2196	0	0	0
0.774	2	4	78	5	1	28	2196	0	0	0
0.776	1	1	78	7	2	28	2196	0	0	0
