% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	1	0	4.28295e-10	902926	0
0.000214285	1	2	0	1.72817e-10	364330	0
0.000214285	2	3	0	8.54567e-11	180158	0
0.000214285	2	4	0	4.24421e-10	894757	0
0.000214285	2	5	0	3.66616e-11	77289.4	0
0.00121428	1	1	0	3.06016e-10	654190	0
0.00121428	1	2	0	2.26343e-10	479657	0
0.00121428	2	3	0	5.65589e-11	123857	0
0.00121428	2	4	0	2.62571e-10	553794	0
0.00121428	2	5	0	3.76432e-11	82579.3	0
0.00221428	1	1	0	3.04158e-10	651004	0
0.00221428	1	2	0	2.22767e-10	471714	0
0.00221428	2	3	0	5.52804e-11	120939	0
0.00221428	2	4	0	2.54996e-10	537846	0
0.00221428	2	5	0	3.81526e-11	83695.9	0
0.00321428	1	1	0	3.0184e-10	646784	0
0.00321428	1	2	0	2.19398e-10	464229	0
0.00321428	2	3	0	5.40555e-11	118115	0
0.00321428	2	4	0	2.47536e-10	522166	0
0.00321428	2	5	0	3.86769e-11	84844.9	0
0.00421428	1	1	0	2.99612e-10	642735	0
0.00421428	1	2	0	2.16383e-10	457519	0
0.00421428	2	3	0	5.29279e-11	115478	0
0.00421428	2	4	0	2.40241e-10	506867	0
0.00421428	2	5	0	3.91772e-11	85940.5	0
0.00521428	1	1	0	2.97031e-10	637888	0
0.00521428	1	2	0	2.1363e-10	451387	0
0.00521428	2	3	0	5.18488e-11	112927	0
0.00521428	2	4	0	2.33046e-10	491808	0
0.00521428	2	5	0	3.97e-11	87084.6	0
0.00621428	1	1	0	2.94469e-10	633054	0
0.00621428	1	2	0	2.11208e-10	445983	0
0.00621428	2	3	0	5.08745e-11	110580	0
0.00621428	2	4	0	2.26129e-10	477362	0
0.00621428	2	5	0	4.01851e-11	88145.8	0
0.00721428	1	1	0	2.9167e-10	627674	0
0.00721428	1	2	0	2.09098e-10	441262	0
0.00721428	2	3	0	4.99521e-11	108328	0
0.00721428	2	4	0	2.19306e-10	463149	0
0.00721428	2	5	0	4.0693e-11	89256.2	0
0.00821428	1	1	0	2.88814e-10	622141	0
0.00821428	1	2	0	2.07296e-10	437220	0
0.00821428	2	3	0	4.91323e-11	106278	0
0.00821428	2	4	0	2.12856e-10	449746	0
0.00821428	2	5	0	4.11658e-11	90289.3	0
0.00921428	1	1	0	2.85816e-10	616267	0
0.00921428	1	2	0	2.05848e-10	433952	0
0.00921428	2	3	0	4.83773e-11	104352	0
0.00921428	2	4	0	2.06503e-10	436582	0
0.00921428	2	5	0	4.16517e-11	91350.5	0
0.0102143	1	1	0	2.82696e-10	610097	0
0.0102143	1	2	0	2.04689e-10	431322	0
0.0102143	2	3	0	4.77182e-11	102616	0
0.0102143	2	4	0	2.00576e-10	424339	0
0.0102143	2	5	0	4.21101e-11	92350.8	0
0.0112143	1	1	0	2.79533e-10	603805	0
0.0112143	1	2	0	2.03923e-10	429548	0
0.0112143	2	3	0	4.71354e-11	101031	0
0.0112143	2	4	0	1.94805e-10	412458	0
0.0112143	2	5	0	4.25695e-11	93352.9	0
0.0122143	1	1	0	2.76189e-10	597087	0
0.0122143	1	2	0	2.03413e-10	428344	0
0.0122143	2	3	0	4.66429e-11	99626.8	0
0.0122143	2	4	0	1.8946e-10	401494	0
0.0122143	2	5	0	4.30102e-11	94313.2	0
0.0132143	1	1	0	2.72898e-10	590456	0
0.0132143	1	2	0	2.03328e-10	428065	0
0.0132143	2	3	0	4.62372e-11	98397.1	0
0.0132143	2	4	0	1.84361e-10	391078	0
0.0132143	2	5	0	4.34393e-11	95248	0
0.0142143	1	1	0	2.69375e-10	583286	0
0.0142143	1	2	0	2.03467e-10	428285	0
0.0142143	2	3	0	4.59175e-11	97342	0
0.0142143	2	4	0	1.79666e-10	381536	0
0.0142143	2	5	0	4.38595e-11	96162.6	0
0.0152143	1	1	0	2.65995e-10	576402	0
0.0152143	1	2	0	2.04032e-10	429431	0
0.0152143	2	3	0	4.56947e-11	96484	0
0.0152143	2	4	0	1.7529e-10	372692	0
0.0152143	2	5	0	4.42552e-11	97023.2	0
0.0162143	1	1	0	2.62336e-10	568876	0
0.0162143	1	2	0	2.04841e-10	431120	0
0.0162143	2	3	0	4.55528e-11	95794.2	0
0.0162143	2	4	0	1.71301e-10	364683	0
0.0162143	2	5	0	4.46529e-11	97887.6	0
0.0172143	1	1	0	2.58854e-10	561713	0
0.0172143	1	2	0	2.0604e-10	433662	0
0.0172143	2	3	0	4.55165e-11	95321.2	0
0.0172143	2	4	0	1.67692e-10	357492	0
0.0172143	2	5	0	4.50129e-11	98669.1	0
0.0182143	1	1	0	2.55156e-10	554046	0
0.0182143	1	2	0	2.07507e-10	436793	0
0.0182143	2	3	0	4.55578e-11	95014	0
0.0182143	2	4	0	1.6445e-10	351097	0
0.0182143	2	5	0	4.53867e-11	99480.4	0
0.0192143	1	1	0	2.51598e-10	546660	0
0.0192143	1	2	0	2.09322e-10	440686	0
0.0192143	2	3	0	4.57134e-11	94942.3	0
0.0192143	2	4	0	1.61633e-10	345613	0
0.0192143	2	5	0	4.57124e-11	100186	0
0.0202143	1	1	0	2.4792e-10	538983	0
0.0202143	1	2	0	2.11424e-10	445211	0
0.0202143	2	3	0	4.59442e-11	95036.9	0
0.0202143	2	4	0	1.59164e-10	340879	0
0.0202143	2	5	0	4.60598e-11	100939	0
0.0212143	1	1	2	2.44331e-10	531475	0
0.0212143	1	2	1	2.13826e-10	450394	0
0.0212143	2	3	2	4.62916e-11	95374.1	0
0.0212143	2	4	1	1.57155e-10	337127	0
0.0212143	2	5	3	4.63519e-11	101571	0
0.0222143	1	1	2	2.40711e-10	523873	0
0.0222143	1	2	1	2.16536e-10	456252	0
0.0222143	2	3	2	4.67248e-11	95901.6	0
0.0222143	2	4	1	1.55466e-10	334064	0
0.0222143	2	5	3	4.66606e-11	102238	0
0.0232143	1	1	2	2.37134e-10	516340	0
0.0232143	1	2	1	2.19488e-10	462646	0
0.0232143	2	3	2	4.72715e-11	96669.4	0
0.0232143	2	4	1	1.54261e-10	332030	0
0.0232143	2	5	3	4.69262e-11	102812	0
0.0242143	1	1	2	2.33608e-10	508896	0
0.0242143	1	2	1	2.22771e-10	469762	0
0.0242143	2	3	2	4.79142e-11	97650.4	0
0.0242143	2	4	1	1.53348e-10	330623	0
0.0242143	2	5	3	4.7196e-11	103394	0
0.0252143	1	1	2	2.3009e-10	501444	0
0.0252143	1	2	1	2.2623e-10	477273	0
0.0252143	2	3	2	4.86684e-11	98872.6	0
0.0252143	2	4	1	1.52908e-10	330216	0
0.0252143	2	5	3	4.74358e-11	103910	0
0.0262143	1	1	2	2.26702e-10	494255	0
0.0262143	1	2	1	2.30044e-10	485556	0
0.0262143	2	3	2	4.95289e-11	100330	0
0.0262143	2	4	1	1.52775e-10	330463	0
0.0262143	2	5	3	4.76671e-11	104407	0
0.0272143	1	1	2	2.23277e-10	486963	0
0.0272143	1	2	1	2.3396e-10	494075	0
0.0272143	2	3	2	5.04999e-11	102032	0
0.0272143	2	4	1	1.5307e-10	331615	0
0.0272143	2	5	3	4.78821e-11	104869	0
0.0282143	1	1	2	2.20048e-10	480080	0
0.0282143	1	2	1	2.38236e-10	503379	0
0.0282143	2	3	2	5.15873e-11	103991	0
0.0282143	2	4	1	1.53682e-10	333434	0
0.0282143	2	5	3	4.80761e-11	105284	0
0.0292143	1	1	2	2.16748e-10	5.24283	0
0.0292143	1	2	1	2.42592e-10	20.2107	0
0.0292143	2	3	2	5.27856e-11	1.65065	0
0.0292143	2	4	1	1.54669e-10	4.54339	0
0.0292143	2	5	3	4.82682e-11	1.93439	0
0.0302143	1	1	2	2.13689e-10	5.36732	0
0.0302143	1	2	1	2.47264e-10	20.5372	0
0.0302143	2	3	2	5.411e-11	1.66246	0
0.0302143	2	4	1	1.55978e-10	4.49146	0
0.0302143	2	5	3	4.84268e-11	1.92814	0
0.0312143	1	1	2	2.10559e-10	459741	0
0.0312143	1	2	1	2.52012e-10	533405	0
0.0312143	2	3	2	5.55469e-11	111436	0
0.0312143	2	4	1	1.57598e-10	343259	0
0.0312143	2	5	3	4.85984e-11	106400	0
0.0322143	1	1	2	2.07662e-10	453508	0
0.0322143	1	2	1	2.57e-10	544287	0
0.0322143	2	3	2	5.71194e-11	114480	0
0.0322143	2	4	1	1.59546e-10	347874	0
0.0322143	2	5	3	4.87241e-11	106666	0
0.0332143	1	1	2	2.0476e-10	447247	0
0.0332143	1	2	1	2.62079e-10	555378	0
0.0332143	2	3	2	5.88035e-11	117790	0
0.0332143	2	4	1	1.6173e-10	352977	0
0.0332143	2	5	3	4.88778e-11	106993	0
0.0342143	1	1	2	2.02047e-10	441386	0
0.0342143	1	2	1	2.6731e-10	566808	0
0.0342143	2	3	2	6.06294e-11	121408	0
0.0342143	2	4	1	1.64247e-10	358773	0
0.0342143	2	5	3	4.89737e-11	107194	0
0.0352143	1	1	2	1.99391e-10	435631	0
0.0352143	1	2	1	2.72656e-10	578494	0
0.0352143	2	3	2	6.25786e-11	125320	0
0.0352143	2	4	1	1.66928e-10	364894	0
0.0352143	2	5	3	4.90999e-11	107461	0
0.0362143	1	1	2	1.96881e-10	6.39311	0
0.0362143	1	2	1	2.78058e-10	20.7898	0
0.0362143	2	3	2	6.46735e-11	2.38855	0
0.0362143	2	4	1	1.69956e-10	4.75439	0
0.0362143	2	5	3	4.91827e-11	1.9961	0
0.0372143	1	1	2	1.94482e-10	6.55195	0
0.0372143	1	2	1	2.83603e-10	21.9711	0
0.0372143	2	3	2	6.69031e-11	2.90768	0
0.0372143	2	4	1	1.73032e-10	4.89866	0
0.0372143	2	5	3	4.92845e-11	2.02443	0
0.0382143	1	1	2	1.92189e-10	419972	0
0.0382143	1	2	1	2.89099e-10	614489	0
0.0382143	2	3	2	6.92813e-11	138989	0
0.0382143	2	4	1	1.76433e-10	386250	0
0.0382143	2	5	3	4.93586e-11	108001	0
0.0392143	1	1	2	1.90056e-10	415315	0
0.0392143	1	2	1	2.94776e-10	626928	0
0.0392143	2	3	2	7.18055e-11	144212	0
0.0392143	2	4	1	1.79838e-10	393819	0
0.0392143	2	5	3	4.94399e-11	108171	0
0.0402143	1	1	2	1.87988e-10	410790	0
0.0402143	1	2	1	3.00286e-10	639022	0
0.0402143	2	3	2	7.44822e-11	149784	0
0.0402143	2	4	1	1.83493e-10	401900	0
0.0402143	2	5	3	4.95093e-11	108314	0
0.0412143	1	1	2	1.86125e-10	406704	0
0.0412143	1	2	1	3.06021e-10	651604	0
0.0412143	2	3	2	7.73157e-11	155716	0
0.0412143	2	4	1	1.87145e-10	409942	0
0.0412143	2	5	3	4.95745e-11	108449	0
0.0422143	1	1	2	1.84285e-10	402660	0
0.0422143	1	2	1	3.11475e-10	663595	0
0.0422143	2	3	2	8.03066e-11	162012	0
0.0422143	2	4	1	1.90946e-10	418275	0
0.0422143	2	5	3	4.96436e-11	108593	0
0.0432143	1	1	2	1.82691e-10	6.56995	0
0.0432143	1	2	1	3.17121e-10	25.5818	0
0.0432143	2	3	2	8.34646e-11	24.212	0
0.0432143	2	4	1	1.94746e-10	6.69138	0
0.0432143	2	5	3	4.96975e-11	2.30901	0
0.0442143	1	1	2	1.81076e-10	6.39224	0
0.0442143	1	2	1	3.22517e-10	24.6574	0
0.0442143	2	3	2	8.67853e-11	16.9616	0
0.0442143	2	4	1	1.98583e-10	7.07943	0
0.0442143	2	5	3	4.97708e-11	2.38308	0
0.0452143	1	1	2	1.79709e-10	392557	0
0.0452143	1	2	1	3.27999e-10	699967	0
0.0452143	2	3	2	9.0283e-11	183199	0
0.0452143	2	4	1	2.02432e-10	443262	0
0.0452143	2	5	3	4.98183e-11	108954	0
0.0462143	1	1	2	1.7835e-10	389543	0
0.0462143	1	2	1	3.33272e-10	711603	0
0.0462143	2	3	2	9.39489e-11	191054	0
0.0462143	2	4	1	2.06192e-10	451380	0
0.0462143	2	5	3	4.99007e-11	109127	0
0.0472143	1	1	2	1.77197e-10	386974	0
0.0472143	1	2	1	3.38529e-10	723212	0
0.0472143	2	3	2	9.78009e-11	199321	0
0.0472143	2	4	1	2.0999e-10	459550	0
0.0472143	2	5	3	4.99468e-11	109222	0
0.0482143	1	1	2	1.76089e-10	384501	0
0.0482143	1	2	1	3.43647e-10	734531	0
0.0482143	2	3	2	1.01827e-10	208007	0
0.0482143	2	4	1	2.13566e-10	467205	0
0.0482143	2	5	3	5.0036e-11	109411	0
0.0492143	1	1	2	1.75137e-10	382365	0
0.0492143	1	2	1	3.48614e-10	745531	0
0.0492143	2	3	2	1.06046e-10	217121	0
0.0492143	2	4	1	2.17218e-10	474996	0
0.0492143	2	5	3	5.00928e-11	109530	0
0.0502143	1	1	2	1.74264e-10	380402	0
0.0502143	1	2	1	3.53483e-10	756328	0
0.0502143	2	3	2	1.10449e-10	226669	0
0.0502143	2	4	1	2.20504e-10	481964	0
0.0502143	2	5	3	5.01879e-11	109733	0
0.0512143	1	1	2	1.73496e-10	4.76693	0
0.0512143	1	2	1	3.5807e-10	19.5751	0
0.0512143	2	3	2	1.15047e-10	3.97457	0
0.0512143	2	4	1	2.23894e-10	8.46115	0
0.0512143	2	5	3	5.02663e-11	3.19757	0
0.0522143	1	1	2	1.7284e-10	377175	0
0.0522143	1	2	1	3.62629e-10	776671	0
0.0522143	2	3	2	1.19834e-10	247081	0
0.0522143	2	4	1	2.26818e-10	495254	0
0.0522143	2	5	3	5.03722e-11	110126	0
0.0532143	1	1	2	1.72235e-10	375795	0
