% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
28	1	2	1	0	28	2196	0	1	0
28	2	4	1	0	28	2196	0	1	0
29	1	1	2	0	28	2196	0	1	0
29	2	3	2	0	28	2196	0	1	0
30	2	5	3	0	22	1383	0	1	0
35	1	2	1	0	28	2196	1	0	0
35	2	4	1	0	28	2196	1	0	0
36	1	1	2	0	28	2196	1	0	0
36	2	3	2	0	28	2196	1	0	0
42	1	2	1	0	28	2196	2	0	0
42	2	4	1	0	28	2196	2	0	0
43	1	1	2	0	28	2196	2	0	0
43	2	3	2	0	28	2196	2	0	0
50	1	1	2	0	28	2196	3	0	0
50	2	3	2	0	28	2196	3	0	0
177	1	1	2	0	28	2196	0	1	0
178	1	2	1	0	28	2196	0	1	0
178	2	5	3	0	28	2196	0	1	0
179	1	1	2	0	28	2196	0	1	0
179	2	4	1	0	28	2196	0	1	0
180	2	3	2	0	28	2196	0	1	0
185	1	2	1	0	28	2196	1	0	0
185	2	5	3	0	28	2196	1	0	0
186	1	1	2	0	28	2196	1	0	0
186	2	4	1	0	28	2196	1	0	0
192	1	2	1	0	28	2196	2	0	0
192	2	5	3	0	28	2196	2	0	0
193	1	1	2	0	28	2196	2	0	0
196	2	4	1	0	28	2196	0	1	0
199	1	2	1	0	28	2196	3	0	0
306	2	3	2	0	28	2196	0	1	0
326	2	4	1	0	28	2196	0	1	0
328	1	2	1	0	28	2196	0	1	0
328	2	5	3	0	28	2196	0	1	0
329	1	1	2	0	28	2196	0	1	0
329	2	3	2	0	28	2196	0	1	0
330	2	4	1	0	28	2196	0	1	0
332	1	1	2	0	28	2196	0	1	0
335	1	2	1	0	28	2196	1	0	0
335	2	5	3	0	28	2196	1	0	0
336	1	1	2	0	28	2196	1	0	0
336	2	3	2	0	28	2196	1	0	0
342	1	2	1	0	28	2196	2	0	0
342	2	5	3	0	28	2196	2	0	0
343	1	1	2	0	28	2196	2	0	0
343	2	3	2	0	28	2196	2	0	0
349	1	2	1	0	28	2196	3	0	0
427	1	2	1	0	28	2196	0	1	0
461	1	2	1	0	28	2196	0	1	0
475	2	4	1	0	28	2196	0	1	0
478	1	1	2	0	28	2196	0	1	0
478	2	5	3	0	28	2196	0	1	0
479	1	2	1	0	28	2196	0	1	0
479	2	3	2	0	28	2196	0	1	0
480	1	1	2	0	28	2196	0	1	0
480	2	4	1	0	28	2196	0	1	0
485	1	1	2	0	28	2196	1	0	0
486	1	2	1	0	28	2196	1	0	0
486	2	3	2	0	28	2196	1	0	0
487	1	1	2	0	28	2196	1	0	0
487	2	4	1	0	28	2196	1	0	0
493	1	2	1	0	28	2196	2	0	0
493	2	3	2	0	28	2196	2	0	0
494	2	4	1	0	28	2196	2	0	0
500	1	2	1	0	28	2196	3	0	0
500	2	3	2	0	28	2196	3	0	0
533	1	2	1	0	28	2196	0	1	0
537	2	3	2	0	28	2196	0	1	0
560	2	3	2	0	28	2196	0	1	0
625	2	4	1	0	28	2196	0	1	0
628	1	1	2	0	28	2196	0	1	0
628	2	5	3	0	28	2196	0	1	0
629	1	2	1	0	28	2196	0	1	0
629	2	3	2	0	28	2196	0	1	0
630	2	4	1	0	28	2196	0	1	0
632	1	2	1	0	28	2196	0	1	0
635	1	1	2	0	28	2196	1	0	0
635	2	5	3	0	28	2196	1	0	0
636	1	2	1	0	28	2196	1	0	0
636	2	3	2	0	28	2196	1	0	0
642	1	1	2	0	28	2196	2	0	0
642	2	5	3	0	28	2196	2	0	0
643	1	2	1	0	28	2196	2	0	0
643	2	3	2	0	28	2196	2	0	0
649	1	1	2	0	28	2196	3	0	0
649	2	5	3	0	28	2196	3	0	0
776	2	4	1	0	28	2196	0	1	0
778	1	1	2	0	28	2196	0	1	0
778	2	5	3	0	28	2196	0	1	0
779	1	2	1	0	28	2196	0	1	0
779	2	3	2	0	28	2196	0	1	0
780	2	4	1	0	28	2196	0	1	0
785	1	1	2	0	28	2196	1	0	0
785	2	5	3	0	28	2196	1	0	0
786	1	2	1	0	28	2196	1	0	0
786	2	3	2	0	28	2196	1	0	0
792	1	1	2	0	28	2196	2	0	0
792	2	5	3	0	28	2196	2	0	0
793	1	2	1	0	28	2196	2	0	0
793	2	3	2	0	28	2196	2	0	0
800	1	2	1	0	28	2196	3	0	0
911	2	3	2	0	24	1620	0	1	0
925	2	4	1	0	28	2196	0	1	0
928	1	1	2	0	28	2196	0	1	0
928	2	5	3	0	28	2196	0	1	0
929	1	2	1	0	28	2196	0	1	0
929	2	3	2	0	28	2196	0	1	0
930	2	4	1	0	28	2196	0	1	0
935	1	1	2	0	28	2196	1	0	0
935	2	5	3	0	28	2196	1	0	0
936	1	2	1	0	28	2196	1	0	0
936	2	3	2	0	28	2196	1	0	0
937	2	3	2	0	0	81	0	1	0
938	2	3	2	0	28	2196	0	1	0
942	1	1	2	0	28	2196	2	0	0
943	1	2	1	0	28	2196	2	0	0
943	2	3	2	0	28	2196	2	0	0
950	2	3	2	0	28	2196	3	0	0
956	2	3	2	0	28	2196	0	1	0
986	1	1	2	0	28	2196	0	1	0
1026	1	1	2	0	28	2196	0	1	0
1038	1	2	1	0	28	2196	0	1	0
1075	2	4	1	0	28	2196	0	1	0
1078	1	2	1	0	28	2196	0	1	0
1078	2	5	3	0	28	2196	0	1	0
1079	1	1	2	0	28	2196	0	1	0
1079	2	3	2	0	28	2196	0	1	0
1080	2	4	1	0	28	2196	0	1	0
1085	1	2	1	0	28	2196	1	0	0
1085	2	5	3	0	28	2196	1	0	0
1086	1	1	2	0	28	2196	1	0	0
1086	2	3	2	0	28	2196	1	0	0
1092	1	2	1	0	28	2196	2	0	0
1092	2	5	3	0	28	2196	2	0	0
1093	1	1	2	0	28	2196	2	0	0
1093	2	3	2	0	28	2196	2	0	0
1098	1	2	1	0	28	2196	0	1	0
1100	2	3	2	0	28	2196	3	0	0
1108	1	2	1	0	28	2196	0	1	0
1219	1	1	2	0	28	2196	0	1	0
1228	1	2	1	0	28	2196	0	1	0
1228	2	5	3	0	28	2196	0	1	0
1229	1	1	2	0	28	2196	0	1	0
1229	2	3	2	0	28	2196	0	1	0
1230	1	1	2	0	28	2196	0	1	0
1230	2	4	1	0	28	2196	0	1	0
1235	1	2	1	0	28	2196	1	0	0
1235	2	5	3	0	28	2196	1	0	0
1236	1	1	2	0	28	2196	1	0	0
1236	2	3	2	0	28	2196	1	0	0
1237	1	1	2	0	28	2196	1	0	0
1237	2	4	1	0	28	2196	1	0	0
1238	1	1	2	0	6	309	0	1	0
1238	2	4	1	0	2	121	0	1	0
1239	1	1	2	0	6	309	0	1	0
1239	2	4	1	0	2	121	0	1	0
1240	1	1	2	0	28	2196	0	1	0
1240	2	4	1	0	28	2196	0	1	0
1242	1	2	1	0	28	2196	2	0	0
1242	2	5	3	0	28	2196	2	0	0
1243	1	1	2	0	28	2196	2	0	0
1244	1	1	2	0	28	2196	2	0	0
