% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.165	1	2	17	6	1	12	301	0
0.165	1	1	17	6	2	2	65	0
0.165	2	5	17	6	3	28	749	0
0.166	1	2	17	7	1	12	301	0
0.166	1	1	17	7	2	2	65	0
0.166	2	5	17	7	3	28	749	0
0.167	1	2	17	8	1	12	301	0
0.167	1	1	17	8	2	2	65	0
0.167	2	5	17	8	3	28	749	0
0.168	1	2	17	9	1	12	301	0
0.168	1	1	17	9	2	2	65	0
0.169	1	2	17	10	1	12	301	0
0.169	1	1	17	10	2	2	65	0
0.17	1	2	18	1	1	12	301	0
0.17	1	1	18	1	2	2	65	0
0.171	1	2	18	2	1	12	301	0
0.171	1	1	18	2	2	2	65	0
0.172	1	2	18	3	1	12	301	0
0.172	1	1	18	3	2	2	65	0
0.172	2	5	18	3	3	28	749	0
0.173	1	1	18	4	2	2	137	0
0.173	2	5	18	4	3	28	749	0
0.174	1	1	18	5	2	2	137	0
0.174	2	5	18	5	3	28	749	0
0.175	1	1	18	6	2	2	137	0
0.176	1	1	18	7	2	2	137	0
0.177	1	1	18	8	2	2	137	0
0.178	1	1	18	9	2	2	137	0
0.179	1	1	18	10	2	2	137	0
0.179	2	5	18	10	3	28	749	0
0.18	1	1	19	1	2	2	137	0
0.18	2	5	19	1	3	28	749	0
0.181	1	1	19	2	2	2	137	0
0.181	2	5	19	2	3	28	749	0
0.182	1	1	19	3	2	2	137	0
0.183	1	1	19	4	2	2	137	0
0.184	1	1	19	5	2	2	137	0
0.185	1	1	19	6	2	2	137	0
0.186	2	5	19	7	3	28	749	0
0.187	2	5	19	8	3	28	749	0
0.188	2	5	19	9	3	28	749	0
0.281	2	4	29	2	1	2	65	0
0.282	2	4	29	3	1	2	65	0
0.283	2	4	29	4	1	2	65	0
0.284	2	4	29	5	1	2	65	0
0.285	2	4	29	6	1	2	65	0
0.286	2	4	29	7	1	2	65	0
0.287	2	4	29	8	1	2	65	0
0.288	2	4	29	9	1	2	65	0
0.289	2	4	29	10	1	2	65	0
0.29	2	4	30	1	1	2	65	0
0.291	2	4	30	2	1	2	65	0
0.292	2	4	30	3	1	2	65	0
0.293	2	4	30	4	1	2	65	0
0.294	2	4	30	5	1	2	65	0
0.295	2	4	30	6	1	2	65	0
0.296	2	4	30	7	1	2	65	0
0.297	2	4	30	8	1	2	65	0
0.298	2	4	30	9	1	2	65	0
0.299	2	4	30	10	1	2	65	0
0.3	2	4	31	1	1	2	65	0
0.301	2	4	31	2	1	2	65	0
0.302	2	4	31	3	1	2	65	0
0.303	2	4	31	4	1	2	65	0
0.304	2	4	31	5	1	2	65	0
0.305	2	4	31	6	1	2	65	0
0.306	2	4	31	7	1	2	65	0
0.307	2	4	31	8	1	2	65	0
0.308	2	4	31	9	1	2	65	0
0.309	2	4	31	10	1	2	65	0
0.31	2	4	32	1	1	2	65	0
0.311	2	4	32	2	1	2	65	0
0.312	2	4	32	3	1	2	65	0
0.313	2	4	32	4	1	2	65	0
0.314	2	4	32	5	1	2	65	0
0.315	1	2	32	6	1	4	105	0
0.315	2	4	32	6	1	2	41	0
0.315	2	5	32	6	3	24	533	0
0.316	1	2	32	7	1	4	105	0
0.316	2	4	32	7	1	2	41	0
0.316	2	5	32	7	3	24	533	0
0.317	1	2	32	8	1	4	105	0
0.317	2	4	32	8	1	2	41	0
0.317	2	5	32	8	3	24	533	0
0.318	1	2	32	9	1	4	105	0
0.318	2	4	32	9	1	2	41	0
0.318	2	5	32	9	3	24	533	0
0.319	1	2	32	10	1	4	105	0
0.319	2	4	32	10	1	2	41	0
0.319	2	5	32	10	3	24	533	0
0.32	1	2	33	1	1	4	105	0
0.32	2	4	33	1	1	2	65	0
0.321	1	2	33	2	1	8	209	0
0.322	1	2	33	3	1	8	209	0
0.322	1	1	33	3	2	4	105	0
0.323	1	2	33	4	1	8	209	0
0.323	1	1	33	4	2	4	105	0
0.324	1	2	33	5	1	8	209	0
0.324	1	1	33	5	2	4	105	0
0.325	1	2	33	6	1	8	209	0
0.325	1	1	33	6	2	4	105	0
0.326	1	2	33	7	1	8	209	0
0.326	1	1	33	7	2	4	105	0
0.327	1	2	33	8	1	8	209	0
0.327	1	1	33	8	2	4	105	0
0.328	1	2	33	9	1	8	209	0
0.328	1	1	33	9	2	4	105	0
0.336	2	5	34	7	3	28	749	0
0.402	2	3	41	3	2	2	65	0
0.403	2	3	41	4	2	2	65	0
0.404	2	3	41	5	2	2	65	0
0.405	2	3	41	6	2	2	65	0
0.406	2	3	41	7	2	2	65	0
0.407	2	3	41	8	2	2	65	0
0.408	2	3	41	9	2	2	65	0
0.409	2	3	41	10	2	2	65	0
0.41	2	3	42	1	2	2	65	0
0.411	2	3	42	2	2	2	65	0
0.412	2	3	42	3	2	2	65	0
0.413	2	3	42	4	2	2	65	0
0.414	2	3	42	5	2	2	65	0
0.415	2	3	42	6	2	2	65	0
0.416	2	3	42	7	2	2	65	0
0.417	2	3	42	8	2	2	65	0
0.418	2	3	42	9	2	2	65	0
0.419	2	3	42	10	2	2	65	0
0.42	2	3	43	1	2	2	65	0
0.421	2	3	43	2	2	2	65	0
0.422	2	3	43	3	2	2	65	0
0.423	2	3	43	4	2	2	65	0
0.424	2	3	43	5	2	2	65	0
0.425	2	3	43	6	2	2	65	0
0.426	2	3	43	7	2	2	65	0
0.427	2	3	43	8	2	2	65	0
0.428	2	3	43	9	2	2	65	0
0.429	2	3	43	10	2	2	65	0
0.43	2	3	44	1	2	2	65	0
0.431	2	3	44	2	2	2	65	0
0.432	2	3	44	3	2	2	65	0
0.433	2	3	44	4	2	2	65	0
0.434	2	3	44	5	2	2	65	0
0.435	2	3	44	6	2	2	65	0
0.436	2	3	44	7	2	2	65	0
0.437	2	3	44	8	2	2	65	0
0.438	2	3	44	9	2	2	65	0
0.439	2	3	44	10	2	2	65	0
0.44	2	3	45	1	2	2	65	0
0.441	2	3	45	2	2	2	65	0
0.442	2	3	45	3	2	2	65	0
0.443	2	3	45	4	2	2	65	0
0.444	2	3	45	5	2	2	65	0
0.445	2	3	45	6	2	2	65	0
0.446	2	3	45	7	2	2	65	0
0.447	2	3	45	8	2	2	65	0
0.448	2	3	45	9	2	2	65	0
0.449	2	3	45	10	2	2	65	0
0.45	2	3	46	1	2	2	65	0
0.451	2	3	46	2	2	2	65	0
0.452	2	3	46	3	2	2	65	0
0.453	2	3	46	4	2	2	65	0
0.454	2	3	46	5	2	2	65	0
0.455	2	3	46	6	2	2	65	0
0.456	2	3	46	7	2	2	65	0
0.457	2	3	46	8	2	2	65	0
0.458	2	3	46	9	2	2	65	0
0.459	2	3	46	10	2	2	65	0
0.46	2	3	47	1	2	2	65	0
0.461	2	3	47	2	2	2	65	0
0.462	2	3	47	3	2	2	65	0
0.463	2	3	47	4	2	2	65	0
0.464	2	3	47	5	2	2	65	0
0.465	1	2	47	6	1	6	153	0
0.465	2	5	47	6	3	28	749	0
0.466	1	2	47	7	1	6	153	0
0.466	2	5	47	7	3	28	749	0
0.467	1	2	47	8	1	6	153	0
0.467	2	5	47	8	3	28	749	0
0.468	1	2	47	9	1	6	153	0
0.468	2	3	47	9	2	2	65	0
0.469	1	2	47	10	1	6	153	0
0.469	2	3	47	10	2	2	65	0
0.47	1	2	48	1	1	6	153	0
