% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
171	1	2	1	0	12	301	0	1	1	0
171	1	1	2	0	2	65	0	1	1	0
171	2	5	3	0	28	749	0	1	0	0
172	1	2	1	0	12	301	0	1	1	0
172	1	1	2	0	2	65	0	1	1	0
172	2	5	3	0	28	749	0	1	0	0
173	1	2	1	0	12	301	0	1	1	0
173	1	1	2	0	2	65	0	1	1	0
173	2	5	3	0	28	749	0	1	0	0
174	1	2	1	0	12	301	0	1	1	0
174	1	1	2	0	2	65	0	1	1	0
175	1	2	1	0	12	301	0	1	1	0
175	1	1	2	0	2	65	0	1	1	0
176	1	2	1	0	12	301	0	1	1	0
176	1	1	2	0	2	65	0	1	1	0
177	1	2	1	0	12	301	0	1	1	0
177	1	1	2	0	2	65	0	1	1	0
178	1	2	1	0	12	301	0	1	1	0
178	1	1	2	0	2	65	0	1	1	0
178	2	5	3	0	28	749	1	0	0	0
179	1	1	2	0	2	137	0	1	1	0
179	2	5	3	0	28	749	1	0	0	0
180	1	1	2	0	2	137	0	1	1	0
180	2	5	3	0	28	749	1	0	0	0
181	1	1	2	0	2	137	0	1	1	0
182	1	1	2	0	2	137	0	1	1	0
183	1	1	2	0	2	137	0	1	1	0
184	1	1	2	0	2	137	0	1	1	0
185	1	1	2	0	2	137	0	1	1	0
185	2	5	3	0	28	749	2	0	0	0
186	1	1	2	0	2	137	0	1	1	0
186	2	5	3	0	28	749	2	0	0	0
187	1	1	2	0	2	137	0	1	1	0
187	2	5	3	0	28	749	2	0	0	0
188	1	1	2	0	2	137	0	1	1	0
189	1	1	2	0	2	137	0	1	1	0
190	1	1	2	0	2	137	0	1	1	0
192	2	5	3	0	28	749	3	0	1	0
193	2	5	3	0	28	749	3	0	1	0
194	2	5	3	0	28	749	3	0	1	0
287	2	4	1	0	2	65	0	1	1	0
288	2	4	1	0	2	65	0	1	1	0
289	2	4	1	0	2	65	0	1	1	0
290	2	4	1	0	2	65	0	1	1	0
291	2	4	1	0	2	65	0	1	1	0
292	2	4	1	0	2	65	0	1	1	0
293	2	4	1	0	2	65	0	1	1	0
294	2	4	1	0	2	65	0	1	1	0
295	2	4	1	0	2	65	0	1	1	0
296	2	4	1	0	2	65	0	1	1	0
297	2	4	1	0	2	65	0	1	1	0
298	2	4	1	0	2	65	0	1	1	0
299	2	4	1	0	2	65	0	1	1	0
300	2	4	1	0	2	65	0	1	1	0
301	2	4	1	0	2	65	0	1	1	0
302	2	4	1	0	2	65	0	1	1	0
303	2	4	1	0	2	65	0	1	1	0
304	2	4	1	0	2	65	0	1	1	0
305	2	4	1	0	2	65	0	1	1	0
306	2	4	1	0	2	65	0	1	1	0
307	2	4	1	0	2	65	0	1	1	0
308	2	4	1	0	2	65	0	1	1	0
309	2	4	1	0	2	65	0	1	1	0
310	2	4	1	0	2	65	0	1	1	0
311	2	4	1	0	2	65	0	1	1	0
312	2	4	1	0	2	65	0	1	1	0
313	2	4	1	0	2	65	0	1	1	0
314	2	4	1	0	2	65	0	1	1	0
315	2	4	1	0	2	65	0	1	1	0
316	2	4	1	0	2	65	0	1	1	0
317	2	4	1	0	2	65	0	1	1	0
318	2	4	1	0	2	65	0	1	1	0
319	2	4	1	0	2	65	0	1	1	0
320	2	4	1	0	2	65	0	1	1	0
321	1	2	1	0	4	105	0	1	1	0
321	2	4	1	0	2	41	0	1	1	0
