% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	2	1	2.36424	0
0.041	2	4	1	3.00188	0
0.042	1	1	2	4.53197	0
0.042	2	3	2	15.1612	0
0.043	2	5	3	13309.2	0
0.081	1	2	1	1.99415	0
0.081	2	4	1	10.0444	0
0.082	1	1	2	27.2353	0
0.082	2	3	2	6.04603	0
0.083	2	5	3	11786.2	0
0.121	1	2	1	2.08119	0
0.121	2	4	1	20.6393	0
0.122	1	1	2	32.081	0
0.122	2	3	2	1.32772	0
0.123	2	5	3	7665.89	0
0.161	1	2	1	10.8132	0
0.161	2	4	1	17.316	0
0.162	1	1	2	46.9948	0
0.162	2	3	2	1.24055	0
0.163	2	5	3	6212.69	0
0.201	1	2	1	9.28179	0
0.201	2	4	1	2.89249	0
0.202	1	1	2	397.53	0
0.202	2	3	2	1.58965	0
0.203	2	5	3	3505.36	0
0.241	1	2	1	3.54166	0
0.241	2	4	1	4.92525	0
0.242	1	1	2	479.37	0
0.242	2	3	2	2.10528	0
0.243	2	5	3	3620.36	0
0.281	1	2	1	2.8923	0
0.281	2	4	1	7.4682	0
0.282	1	1	2	10.9472	0
0.282	2	3	2	9.44148	0
0.283	2	5	3	8718.91	0
0.321	1	2	1	6.08317	0
0.321	2	4	1	9.98286	0
0.322	1	1	2	40.0102	0
0.322	2	3	2	18.2378	0
0.323	2	5	3	16005.3	0
0.361	1	2	1	18.4447	0
0.361	2	4	1	8.95703	0
0.362	1	1	2	45.7776	0
0.362	2	3	2	2.336	0
0.363	2	5	3	3175.79	0
0.401	1	2	1	8.10148	0
0.401	2	4	1	6.54238	0
0.402	1	1	2	12.7538	0
0.402	2	3	2	25.6364	0
0.403	2	5	3	8036.96	0
0.441	1	2	1	4.0183	0
0.441	2	4	1	1.18885	0
0.442	1	1	2	8.52452	0
0.442	2	3	2	11.9142	0
0.443	2	5	3	31010.4	0
0.481	1	2	1	12.6198	0
0.481	2	4	1	51.4469	0
0.482	1	1	2	15.5195	0
0.482	2	3	2	2.028	0
0.483	2	5	3	4529.61	0
0.521	1	2	1	11.4039	0
0.521	2	4	1	7.04648	0
0.522	1	1	2	1.44446	0
0.522	2	3	2	31.5017	0
0.523	2	5	3	25546.3	0
0.561	1	2	1	14.73	0
0.561	2	4	1	1.6495	0
0.562	1	1	2	10.2236	0
0.562	2	3	2	37.9853	0
0.563	2	5	3	9650.05	0
0.601	1	2	1	7.27955	0
0.601	2	4	1	8.85665	0
0.602	1	1	2	0.606073	0
0.602	2	3	2	53.9478	0
0.603	2	5	3	16787.8	0
0.641	1	2	1	121.46	0
0.641	2	4	1	0.798956	0
0.642	1	1	2	0.698859	0
0.642	2	3	2	61.5651	0
0.643	2	5	3	24805.9	0
0.681	1	2	1	1.59324	0
0.681	2	4	1	5.13006	0
0.682	1	1	2	2.37069	0
0.682	2	3	2	27.6417	0
0.683	2	5	3	9321.12	0
0.721	1	2	1	1.65815	0
0.721	2	4	1	2.19967	0
0.722	1	1	2	6.38732	0
0.722	2	3	2	4.66054	0
0.723	2	5	3	4658.36	0
