% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.025	1	3	3	6	1	0	26	0	0	0
0.025	1	7	3	6	2	0	26	0	0	0
0.025	1	2	3	6	4	0	26	0	0	0
0.025	2	6	3	6	2	0	41	0	0	0
0.025	2	5	3	6	3	0	41	0	0	0
0.032	1	0	4	3	3	24	1620	0	0	0
0.04	1	2	5	1	4	28	749	0	0	0
0.04	1	3	5	1	1	28	749	0	0	0
0.04	1	7	5	1	2	22	469	0	0	0
0.04	2	5	5	1	3	20	597	0	0	0
0.04	2	6	5	1	2	28	1095	0	0	0
0.041	1	7	5	2	2	22	469	0	0	0
0.041	1	2	5	2	4	28	749	0	0	0
0.041	1	3	5	2	1	28	749	0	0	0
0.041	2	6	5	2	2	28	1095	0	0	0
0.041	2	5	5	2	3	20	597	0	0	0
0.047	1	2	5	8	4	28	749	0	0	0
0.047	1	3	5	8	1	28	749	0	0	0
0.047	1	7	5	8	2	22	469	0	0	0
0.047	2	5	5	8	3	20	597	0	0	0
0.048	1	2	5	9	4	28	749	0	0	0
0.048	1	3	5	9	1	28	749	0	0	0
0.048	1	7	5	9	2	22	469	0	0	0
0.048	2	5	5	9	3	20	597	0	0	0
0.048	2	6	5	9	2	28	1095	0	0	0
0.049	1	0	5	10	3	12	597	0	0	0
0.05	1	0	6	1	3	28	2196	0	0	0
0.054	1	2	6	5	4	28	749	0	0	0
0.054	1	3	6	5	1	28	749	0	0	0
0.055	1	2	6	6	4	28	749	0	0	0
0.055	1	3	6	6	1	28	749	0	0	0
0.055	1	7	6	6	2	22	469	0	0	0
0.055	2	5	6	6	3	20	597	0	0	0
0.06	1	2	7	1	4	28	749	0	0	0
0.06	1	3	7	1	1	28	749	0	0	0
0.06	1	7	7	1	2	28	749	0	0	0
0.06	2	5	7	1	3	22	693	0	0	0
0.06	2	6	7	1	2	24	807	0	0	0
0.061	1	7	7	2	2	28	749	0	0	0
0.061	1	2	7	2	4	28	749	0	0	0
0.061	1	3	7	2	1	28	749	0	0	0
0.061	2	6	7	2	2	24	807	0	0	0
0.061	2	5	7	2	3	22	693	0	0	0
0.062	1	3	7	3	1	28	749	0	0	0
0.062	2	5	7	3	3	20	597	0	0	0
0.067	1	0	7	8	3	28	2196	0	0	0
0.068	1	2	7	9	4	28	749	0	0	0
0.068	1	3	7	9	1	28	749	0	0	0
0.068	1	7	7	9	2	28	749	0	0	0
0.068	2	5	7	9	3	22	693	0	0	0
0.07	1	0	8	1	3	24	807	0	0	0
0.07	1	7	8	1	2	22	693	0	0	0
0.075	1	2	8	6	4	28	749	0	0	0
0.075	1	3	8	6	1	28	749	0	0	0
0.075	2	5	8	6	3	22	693	0	0	0
0.08	1	3	9	1	1	28	2196	0	0	0
0.08	2	5	9	1	3	22	693	0	0	0
0.08	2	6	9	1	2	22	693	0	0	0
0.081	1	3	9	2	1	28	2196	0	0	0
0.081	2	6	9	2	2	22	693	0	0	0
0.081	2	5	9	2	3	22	693	0	0	0
0.082	1	3	9	3	1	28	749	0	0	0
0.082	2	5	9	3	3	22	693	0	0	0
0.087	1	0	9	8	3	26	1836	0	0	0
0.088	1	3	9	9	1	28	2196	0	0	0
0.088	2	5	9	9	3	22	693	0	0	0
0.09	1	0	10	1	3	18	485	0	0	0
0.09	1	2	10	1	4	14	389	0	0	0
0.095	2	5	10	6	3	22	693	0	0	0
0.1	1	3	11	1	1	28	2196	0	0	0
0.1	2	5	11	1	3	22	693	0	0	0
0.1	2	6	11	1	2	28	1095	0	0	0
