% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
27	1	2	4	0	0	0	26	0	1	1	0
27	1	3	1	0	0	0	26	0	1	1	0
27	1	7	2	0	0	0	26	0	1	1	0
27	2	5	3	0	0	0	41	0	1	1	0
27	2	6	2	0	0	0	41	0	1	1	0
34	1	1	3	0	0	24	1620	0	1	1	0
42	1	2	4	0	0	28	749	0	1	0	0
42	1	3	1	0	0	28	749	0	1	0	0
42	1	7	2	0	0	22	469	0	1	0	0
42	2	5	3	0	0	20	597	0	1	0	0
43	1	2	4	0	0	28	749	0	1	0	0
43	1	3	1	0	0	28	749	0	1	0	0
43	1	7	2	0	0	22	469	0	1	0	0
43	2	5	3	0	0	20	597	0	1	0	0
43	2	6	2	0	0	28	1095	0	1	0	0
49	1	2	4	0	0	28	749	1	0	0	0
49	1	3	1	0	0	28	749	1	0	0	0
49	1	7	2	0	0	22	469	1	0	1	0
49	2	5	3	0	0	20	597	1	0	1	0
50	1	2	4	0	0	28	749	1	0	0	0
50	1	3	1	0	0	28	749	1	0	0	0
50	1	7	2	0	0	22	469	1	0	0	0
50	2	5	3	0	0	20	597	1	0	0	0
51	1	1	3	0	0	12	597	0	1	1	0
52	1	1	3	0	0	28	2196	0	1	1	0
56	1	2	4	0	0	28	749	2	0	1	0
56	1	3	1	0	0	28	749	2	0	1	0
57	1	2	4	0	0	28	749	2	0	1	0
57	1	3	1	0	0	28	749	2	0	0	0
57	1	7	2	0	0	22	469	2	0	1	0
57	2	5	3	0	0	20	597	2	0	0	0
62	1	2	4	0	0	28	749	0	1	1	0
62	1	3	1	0	0	28	749	0	1	1	0
62	1	7	2	0	0	28	749	0	1	1	0
63	1	2	4	0	0	28	749	0	1	0	0
63	1	3	1	0	0	28	749	0	1	0	0
63	1	7	2	0	0	28	749	0	1	0	0
63	2	5	3	0	0	22	693	0	1	0	0
64	1	3	1	0	0	28	749	3	0	0	0
64	2	5	3	0	0	20	597	3	0	0	0
70	1	1	3	0	0	28	2196	0	1	0	0
70	1	2	4	0	0	28	749	1	0	0	0
70	1	3	1	0	0	28	749	1	0	0	0
70	1	7	2	0	0	28	749	1	0	1	0
70	2	5	3	0	0	22	693	1	0	0	0
72	1	1	3	0	0	24	807	0	1	1	0
72	1	7	2	0	0	22	693	0	1	1	0
77	1	2	4	0	0	28	749	2	0	1	0
77	1	3	1	0	0	28	749	2	0	0	0
77	2	5	3	0	0	22	693	2	0	0	0
83	1	3	1	0	0	28	2196	0	1	0	0
83	2	5	3	0	0	22	693	0	1	0	0
84	1	3	1	0	0	28	749	3	0	0	0
90	1	1	3	0	0	26	1836	0	1	0	0
90	1	3	1	0	0	28	2196	1	0	1	0
90	2	5	3	0	0	22	693	1	0	0	0
92	1	1	3	0	0	18	485	0	1	1	0
92	1	2	4	0	0	14	389	0	1	1	0
102	2	5	3	0	0	22	693	0	1	1	0
102	2	6	2	0	0	28	1095	0	1	1	0
103	1	1	3	0	0	24	807	0	1	0	0
103	1	3	1	0	0	28	1095	0	1	0	0
103	2	5	3	0	0	22	693	0	1	0	0
