% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.025	1	0	3	6	3	0	19	0
0.025	2	0	3	6	1	0	19	0
0.033	1	3	4	4	1	0	26	0
0.033	1	7	4	4	2	0	26	0
0.033	1	2	4	4	4	0	26	0
0.033	2	6	4	4	2	0	41	0
0.033	2	5	4	4	3	0	41	0
0.04	1	0	5	1	3	0	85	0
0.053	1	2	6	4	4	28	749	0
0.053	1	3	6	4	1	18	357	0
0.053	1	7	6	4	2	0	26	0
0.053	2	6	6	4	2	0	41	0
0.053	2	5	6	4	3	6	153	0
0.061	2	6	7	2	2	0	85	0
0.063	1	2	7	4	4	28	749	0
0.063	1	7	7	4	2	4	69	0
0.073	2	6	8	4	2	0	85	0
0.083	1	2	9	4	4	28	1095	0
0.083	1	0	9	4	3	0	41	0
0.093	2	6	10	4	2	2	137	0
0.096	1	3	10	7	1	24	1692	0
0.123	1	0	13	4	3	8	209	0
0.123	1	3	13	4	1	28	1095	0
0.13	2	6	14	1	2	6	153	0
0.154	2	1	16	5	4	0	41	0
0.19	2	5	20	1	3	6	153	0
0.204	2	1	21	5	4	2	137	0
0.206	1	3	21	7	1	28	749	0
0.206	2	6	21	7	2	0	26	0
0.206	2	5	21	7	3	14	253	0
0.206	2	1	21	7	4	4	69	0
0.209	2	5	21	10	3	14	807	0
0.213	1	3	22	4	1	28	749	0
0.226	1	3	23	7	1	28	749	0
0.226	2	6	23	7	2	0	85	0
0.242	1	7	25	3	2	2	65	0
0.246	1	7	25	7	2	2	65	0
0.273	1	4	28	4	5	0	41	0
0.289	1	4	29	10	5	26	903	0
0.404	1	2	41	5	4	0	85	0
0.406	1	2	41	7	4	2	65	0
0.445	1	4	45	6	5	6	325	0
0.446	1	4	45	7	5	6	325	0
0.482	2	6	49	3	2	0	41	0
0.502	2	6	51	3	2	0	41	0
0.522	1	6	53	3	6	0	85	0
0.524	2	1	53	5	4	0	85	0
0.538	1	6	54	9	6	10	549	0
0.544	1	1	55	5	7	0	85	0
0.56	1	1	57	1	7	0	85	0
0.606	1	6	61	7	6	28	1095	0
0.606	1	1	61	7	7	28	1095	0
0.686	1	3	69	7	1	28	749	0
0.686	1	7	69	7	2	26	621	0
0.686	1	2	69	7	4	14	253	0
0.686	2	5	69	7	3	0	85	0
0.706	2	5	71	7	3	0	85	0
0.726	2	5	73	7	3	6	325	0
0.746	2	5	75	7	3	6	325	0
0.754	2	5	76	5	3	6	325	0
0.766	2	5	77	7	3	14	807	0
0.786	2	5	79	7	3	14	807	0
0.806	2	5	81	7	3	6	325	0
0.862	2	5	87	3	3	18	1143	0
0.882	1	5	89	3	8	0	85	0
0.886	1	4	89	7	5	16	967	0
0.898	1	5	90	9	8	18	1143	0
0.906	1	4	91	7	5	16	967	0
1.006	1	5	101	7	8	8	437	0
1.086	1	6	109	7	6	28	1095	0
1.086	1	1	109	7	7	28	1095	0
1.166	1	3	117	7	1	24	533	0
1.166	1	7	117	7	2	24	533	0
1.166	1	2	117	7	4	24	533	0
1.186	1	2	119	7	4	20	1335	0
1.366	1	4	137	7	5	26	1908	0
1.486	1	5	149	7	8	12	621	0
1.566	1	6	157	7	6	28	1095	0
1.566	1	1	157	7	7	22	693	0
1.646	1	3	165	7	1	24	533	0
1.646	1	7	165	7	2	24	533	0
1.646	1	2	165	7	4	20	437	0
1.846	1	4	185	7	5	14	807	0
1.966	1	5	197	7	8	28	2292	0
2.046	1	6	205	7	6	28	1095	0
2.046	1	1	205	7	7	22	693	0
2.126	1	3	213	7	1	28	749	0
2.126	1	7	213	7	2	14	253	0
2.126	1	2	213	7	4	26	621	0
2.326	1	4	233	7	5	28	2292	0
2.446	1	5	245	7	8	28	2292	0
2.526	1	6	253	7	6	28	1095	0
2.526	1	1	253	7	7	14	389	0
2.606	1	3	261	7	1	24	533	0
2.606	1	7	261	7	2	22	469	0
2.606	1	2	261	7	4	26	621	0
2.806	1	4	281	7	5	28	2292	0
2.926	1	5	293	7	8	28	2292	0
3.006	1	6	301	7	6	28	1095	0
3.006	1	1	301	7	7	28	1095	0
3.086	1	3	309	7	1	28	749	0
3.086	1	7	309	7	2	16	309	0
3.086	1	2	309	7	4	28	749	0
3.286	1	4	329	7	5	28	2292	0
3.406	1	5	341	7	8	28	2292	0
3.486	1	6	349	7	6	28	1095	0
3.486	1	1	349	7	7	28	1095	0
3.566	1	3	357	7	1	28	749	0
3.566	1	7	357	7	2	12	201	0
3.566	1	2	357	7	4	22	469	0
3.766	1	4	377	7	5	14	807	0
3.886	1	5	389	7	8	28	2292	0
3.966	1	6	397	7	6	28	1095	0
3.966	1	1	397	7	7	14	389	0
4.046	1	3	405	7	1	16	309	0
4.046	1	7	405	7	2	12	201	0
4.046	1	2	405	7	4	28	749	0
4.246	1	4	425	7	5	8	437	0
4.366	1	5	437	7	8	4	225	0
4.446	1	6	445	7	6	24	807	0
4.446	1	1	445	7	7	28	1095	0
4.526	1	3	453	7	1	28	749	0
4.526	1	7	453	7	2	28	749	0
4.526	1	2	453	7	4	14	253	0
4.726	1	4	473	7	5	28	2292	0
4.846	1	5	485	7	8	26	1908	0
4.853	1	5	486	4	8	26	1908	0
4.866	1	5	487	7	8	14	807	0
4.926	1	6	493	7	6	28	1095	0
4.926	1	1	493	7	7	28	1095	0
5.006	1	3	501	7	1	28	749	0
5.006	1	7	501	7	2	24	533	0
5.006	1	2	501	7	4	28	749	0
5.326	1	5	533	7	8	28	2292	0
5.406	1	4	541	7	5	10	173	0
5.406	1	6	541	7	6	28	749	0
5.406	1	1	541	7	7	28	749	0
5.486	1	3	549	7	1	28	749	0
5.486	1	7	549	7	2	24	533	0
5.486	1	2	549	7	4	28	749	0
5.506	1	7	551	7	2	18	1143	0
5.808	1	5	581	9	8	24	1692	0
5.886	1	4	589	7	5	28	749	0
5.886	1	6	589	7	6	28	749	0
5.886	1	1	589	7	7	22	469	0
5.966	1	3	597	7	1	28	749	0
5.966	1	7	597	7	2	28	749	0
5.966	1	2	597	7	4	28	749	0
6.286	1	5	629	7	8	28	2292	0
6.366	1	4	637	7	5	22	469	0
6.366	1	6	637	7	6	18	357	0
6.366	1	1	637	7	7	28	749	0
6.446	1	3	645	7	1	28	749	0
6.446	1	7	645	7	2	24	533	0
6.446	1	2	645	7	4	28	749	0
6.766	1	5	677	7	8	10	549	0
6.846	1	4	685	7	5	6	101	0
6.846	1	6	685	7	6	18	357	0
6.846	1	1	685	7	7	14	253	0
6.926	1	3	693	7	1	26	621	0
6.926	1	7	693	7	2	28	749	0
6.926	1	2	693	7	4	18	357	0
7.246	1	5	725	7	8	10	549	0
7.326	1	4	733	7	5	26	621	0
7.326	1	6	733	7	6	24	533	0
7.326	1	1	733	7	7	20	437	0
7.346	1	1	735	7	7	28	2292	0
7.406	1	3	741	7	1	28	749	0
7.406	1	7	741	7	2	12	201	0
7.406	1	2	741	7	4	14	253	0
7.726	1	5	773	7	8	24	1692	0
7.806	1	4	781	7	5	26	621	0
7.806	1	6	781	7	6	24	533	0
7.806	1	1	781	7	7	14	253	0
7.886	1	3	789	7	1	28	749	0
7.886	1	7	789	7	2	22	469	0
7.886	1	2	789	7	4	20	437	0
7.906	1	3	791	7	1	22	1431	0
8.206	1	5	821	7	8	20	1335	0
8.286	1	4	829	7	5	20	437	0
8.286	1	6	829	7	6	24	533	0
8.286	1	1	829	7	7	24	533	0
8.366	1	3	837	7	1	28	749	0
8.366	1	7	837	7	2	28	749	0
8.366	1	2	837	7	4	24	533	0
8.686	1	5	869	7	8	2	137	0
8.766	1	4	877	7	5	26	621	0
8.766	1	6	877	7	6	28	749	0
8.807	1	1	881	8	7	16	967	0
8.826	1	1	883	7	7	16	967	0
8.846	1	3	885	7	1	28	749	0
8.846	1	7	885	7	2	20	437	0
8.846	1	2	885	7	4	28	749	0
8.866	1	7	887	7	2	18	1143	0
9.166	1	5	917	7	8	24	1692	0
9.246	1	4	925	7	5	28	749	0
9.246	1	6	925	7	6	28	749	0
9.246	1	1	925	7	7	22	469	0
9.326	1	7	933	7	2	18	549	0
9.326	1	2	933	7	4	22	693	0
9.406	1	3	941	7	1	12	621	0
9.646	1	5	965	7	8	28	2292	0
9.726	1	4	973	7	5	10	173	0
9.726	1	6	973	7	6	28	749	0
9.726	1	1	973	7	7	22	469	0
9.806	1	7	981	7	2	28	1095	0
9.806	1	2	981	7	4	16	453	0
