% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
24	1	0	1	0	0	19	0	1	1	0
24	1	0	2	0	0	19	0	1	1	0
24	1	0	3	0	0	19	0	1	0	0
24	1	0	4	0	0	19	0	1	1	0
24	2	0	1	0	0	19	0	1	0	0
24	2	0	2	0	0	19	0	1	1	0
24	2	0	3	0	0	19	0	1	1	0
31	1	0	3	0	0	19	1	0	1	0
39	1	0	1	0	0	26	0	1	1	0
39	1	0	2	0	0	26	0	1	1	0
39	1	0	4	0	0	26	0	1	1	0
39	2	0	2	0	0	41	0	1	1	0
39	2	0	3	0	0	41	0	1	1	0
46	1	0	3	0	0	85	0	1	1	0
59	1	0	1	0	18	357	0	1	1	0
59	1	0	2	0	0	26	0	1	0	0
59	1	0	4	0	28	749	0	1	1	0
69	1	0	2	0	4	69	0	1	1	0
69	1	0	4	0	28	749	0	1	1	0
89	1	0	3	0	0	41	0	1	1	0
89	1	0	4	0	28	1095	0	1	1	0
99	2	0	2	0	2	137	0	1	1	0
102	1	0	1	0	24	1692	0	1	1	0
129	1	0	1	0	28	1095	0	1	1	0
129	1	0	3	0	8	209	0	1	0	0
136	2	0	2	0	6	153	0	1	1	0
160	2	1	4	0	0	41	0	1	1	0
212	2	0	2	0	0	26	0	1	0	0
212	2	0	3	0	14	253	0	1	1	0
212	2	1	4	0	4	69	0	1	1	0
212	1	0	1	0	28	749	0	1	0	0
219	1	0	1	0	28	749	1	0	1	0
232	2	0	2	0	0	85	0	1	1	0
248	1	0	2	0	2	65	0	1	1	0
264	1	0	5	0	0	19	0	1	1	0
279	1	0	5	0	0	41	0	1	1	0
295	1	0	5	0	26	903	0	1	1	0
410	1	0	4	0	0	85	0	1	1	0
451	1	0	5	0	6	325	0	1	1	0
508	2	0	2	0	0	41	0	1	1	0
528	1	6	6	0	0	85	0	1	1	0
530	2	1	4	0	0	85	0	1	1	0
544	1	6	6	0	10	549	0	1	1	0
550	1	1	7	0	0	85	0	1	1	0
566	1	1	7	0	0	85	0	1	1	0
612	1	6	6	0	28	1095	0	1	1	0
612	1	1	7	0	28	1095	0	1	1	0
692	1	0	1	0	28	749	0	1	1	0
692	1	0	2	0	26	621	0	1	1	0
692	1	0	4	0	14	253	0	1	1	0
732	2	0	3	0	6	325	0	1	1	0
812	2	0	3	0	6	325	0	1	1	0
868	2	0	3	0	18	1143	0	1	1	0
888	1	5	8	0	0	85	0	1	1	0
892	1	0	5	0	16	967	0	1	1	0
904	1	5	8	0	18	1143	0	1	1	0
1012	1	5	8	0	8	437	0	1	1	0
1092	1	6	6	0	28	1095	0	1	1	0
1092	1	1	7	0	28	1095	0	1	1	0
1172	1	0	1	0	24	533	0	1	1	0
1172	1	0	2	0	24	533	0	1	1	0
1172	1	0	4	0	24	533	0	1	1	0
1372	1	0	5	0	26	1908	0	1	1	0
1492	1	5	8	0	12	621	0	1	1	0
1572	1	6	6	0	28	1095	0	1	1	0
1572	1	1	7	0	22	693	0	1	1	0
1652	1	0	1	0	24	533	0	1	1	0
1652	1	0	2	0	24	533	0	1	1	0
1652	1	0	4	0	20	437	0	1	1	0
1852	1	0	5	0	14	807	0	1	1	0
1972	1	5	8	0	28	2292	0	1	1	0
2052	1	6	6	0	28	1095	0	1	1	0
2052	1	1	7	0	22	693	0	1	1	0
2132	1	0	1	0	28	749	0	1	1	0
2132	1	0	2	0	14	253	0	1	1	0
2132	1	0	4	0	26	621	0	1	1	0
2332	1	0	5	0	28	2292	0	1	1	0
2452	1	5	8	0	28	2292	0	1	1	0
2532	1	6	6	0	28	1095	0	1	1	0
2532	1	1	7	0	14	389	0	1	1	0
2612	1	0	1	0	24	533	0	1	1	0
2612	1	0	2	0	22	469	0	1	1	0
2612	1	0	4	0	26	621	0	1	1	0
2812	1	0	5	0	28	2292	0	1	1	0
2932	1	5	8	0	28	2292	0	1	1	0
3012	1	6	6	0	28	1095	0	1	1	0
3012	1	1	7	0	28	1095	0	1	1	0
3092	1	0	1	0	28	749	0	1	1	0
3092	1	0	2	0	16	309	0	1	1	0
3092	1	0	4	0	28	749	0	1	1	0
3292	1	0	5	0	28	2292	0	1	1	0
3412	1	5	8	0	28	2292	0	1	1	0
3492	1	6	6	0	28	1095	0	1	1	0
3492	1	1	7	0	28	1095	0	1	1	0
3572	1	0	1	0	28	749	0	1	1	0
3572	1	0	2	0	12	201	0	1	1	0
3572	1	0	4	0	22	469	0	1	1	0
3772	1	0	5	0	14	807	0	1	1	0
3892	1	5	8	0	28	2292	0	1	1	0
3972	1	6	6	0	28	1095	0	1	1	0
3972	1	1	7	0	14	389	0	1	1	0
4052	1	0	1	0	16	309	0	1	1	0
4052	1	0	2	0	12	201	0	1	1	0
4052	1	0	4	0	28	749	0	1	1	0
4252	1	0	5	0	8	437	0	1	1	0
4372	1	5	8	0	4	225	0	1	1	0
4452	1	6	6	0	24	807	0	1	1	0
4452	1	1	7	0	28	1095	0	1	1	0
4532	1	0	1	0	28	749	0	1	1	0
4532	1	0	2	0	28	749	0	1	1	0
4532	1	0	4	0	14	253	0	1	1	0
4732	1	0	5	0	28	2292	0	1	1	0
4852	1	5	8	0	26	1908	0	1	0	0
4859	1	5	8	0	26	1908	1	0	1	0
4932	1	6	6	0	28	1095	0	1	1	0
4932	1	1	7	0	28	1095	0	1	1	0
5012	1	0	1	0	28	749	0	1	1	0
5012	1	0	2	0	24	533	0	1	1	0
5012	1	0	4	0	28	749	0	1	1	0
5332	1	5	8	0	28	2292	0	1	1	0
5412	1	0	5	0	10	173	0	1	1	0
5412	1	6	6	0	28	749	0	1	1	0
5412	1	1	7	0	28	749	0	1	1	0
5492	1	0	1	0	28	749	0	1	1	0
5492	1	0	2	0	24	533	0	1	1	0
5492	1	0	4	0	28	749	0	1	1	0
5814	1	5	8	0	24	1692	0	1	1	0
5892	1	0	5	0	28	749	0	1	1	0
5892	1	6	6	0	28	749	0	1	1	0
5892	1	1	7	0	22	469	0	1	1	0
5972	1	0	1	0	28	749	0	1	1	0
5972	1	0	2	0	28	749	0	1	1	0
5972	1	0	4	0	28	749	0	1	1	0
6292	1	5	8	0	28	2292	0	1	1	0
6372	1	0	5	0	22	469	0	1	1	0
6372	1	6	6	0	18	357	0	1	1	0
6372	1	1	7	0	28	749	0	1	1	0
6452	1	0	1	0	28	749	0	1	1	0
6452	1	0	2	0	24	533	0	1	1	0
6452	1	0	4	0	28	749	0	1	1	0
6772	1	5	8	0	10	549	0	1	1	0
6852	1	0	5	0	6	101	0	1	1	0
6852	1	6	6	0	18	357	0	1	1	0
6852	1	1	7	0	14	253	0	1	1	0
6932	1	0	1	0	26	621	0	1	1	0
6932	1	0	2	0	28	749	0	1	1	0
6932	1	0	4	0	18	357	0	1	1	0
7252	1	5	8	0	10	549	0	1	1	0
7332	1	0	5	0	26	621	0	1	1	0
7332	1	6	6	0	24	533	0	1	1	0
7332	1	1	7	0	20	437	0	1	1	0
7412	1	0	1	0	28	749	0	1	1	0
7412	1	0	2	0	12	201	0	1	1	0
7412	1	0	4	0	14	253	0	1	1	0
7732	1	5	8	0	24	1692	0	1	1	0
7812	1	0	5	0	26	621	0	1	1	0
7812	1	6	6	0	24	533	0	1	1	0
7812	1	1	7	0	14	253	0	1	1	0
7892	1	0	1	0	28	749	0	1	1	0
7892	1	0	2	0	22	469	0	1	1	0
7892	1	0	4	0	20	437	0	1	1	0
8212	1	5	8	0	20	1335	0	1	1	0
8292	1	0	5	0	20	437	0	1	1	0
8292	1	6	6	0	24	533	0	1	1	0
8292	1	1	7	0	24	533	0	1	1	0
8372	1	0	1	0	28	749	0	1	1	0
8372	1	0	2	0	28	749	0	1	1	0
8372	1	0	4	0	24	533	0	1	1	0
8692	1	5	8	0	2	137	0	1	1	0
8772	1	0	5	0	26	621	0	1	1	0
8772	1	6	6	0	28	749	0	1	1	0
8813	1	1	7	0	16	967	0	1	1	0
8852	1	0	1	0	28	749	0	1	1	0
8852	1	0	2	0	20	437	0	1	1	0
8852	1	0	4	0	28	749	0	1	1	0
9172	1	5	8	0	24	1692	0	1	1	0
9252	1	0	5	0	28	749	0	1	1	0
9252	1	6	6	0	28	749	0	1	1	0
9252	1	1	7	0	22	469	0	1	1	0
9332	1	0	2	0	18	549	0	1	1	0
9332	1	0	4	0	22	693	0	1	1	0
9412	1	0	1	0	12	621	0	1	1	0
9652	1	5	8	0	28	2292	0	1	1	0
9732	1	0	5	0	10	173	0	1	1	0
9732	1	6	6	0	28	749	0	1	1	0
9732	1	1	7	0	22	469	0	1	1	0
9812	1	0	2	0	28	1095	0	1	1	0
9812	1	0	4	0	16	453	0	1	1	0
9892	1	0	1	0	12	621	0	1	1	0
10132	1	5	8	0	28	2292	0	1	1	0
10212	1	0	5	0	14	253	0	1	1	0
10212	1	6	6	0	28	749	0	1	1	0
10212	1	1	7	0	18	357	0	1	1	0
10232	1	1	7	0	22	1431	0	1	1	0
10292	1	0	2	0	26	903	0	1	1	0
10292	1	0	4	0	28	1095	0	1	1	0
10372	1	0	1	0	12	621	0	1	1	0
10612	1	5	8	0	28	2292	0	1	1	0
10692	1	0	5	0	28	749	0	1	1	0
10692	1	6	6	0	28	749	0	1	1	0
10692	1	1	7	0	26	621	0	1	1	0
10772	1	0	2	0	28	1095	0	1	1	0
10772	1	0	4	0	28	1095	0	1	1	0
10852	1	0	1	0	22	1431	0	1	1	0
11092	1	5	8	0	26	1908	0	1	1	0
11172	1	0	5	0	28	749	0	1	1	0
11172	1	6	6	0	28	749	0	1	1	0
11172	1	1	7	0	8	137	0	1	1	0
11252	1	0	2	0	24	807	0	1	1	0
11252	1	0	4	0	24	807	0	1	1	0
11332	1	0	1	0	22	1431	0	1	1	0
11572	1	5	8	0	4	225	0	1	1	0
11652	1	0	5	0	28	749	0	1	1	0
11652	1	6	6	0	28	749	0	1	1	0
11652	1	1	7	0	28	749	0	1	1	0
11732	1	0	2	0	10	261	0	1	1	0
11732	1	0	4	0	20	645	0	1	1	0
11812	1	0	1	0	26	1908	0	1	1	0
12052	1	5	8	0	6	325	0	1	1	0
12132	1	0	5	0	28	749	0	1	1	0
12132	1	6	6	0	28	749	0	1	1	0
12132	1	1	7	0	18	357	0	1	1	0
12212	1	0	2	0	22	693	0	1	1	0
12212	1	0	4	0	28	1095	0	1	1	0
12292	1	0	1	0	20	1335	0	1	1	0
12532	1	5	8	0	20	1335	0	1	1	0
12612	1	0	5	0	28	749	0	1	1	0
12612	1	6	6	0	28	749	0	1	1	0
12612	1	1	7	0	26	621	0	1	1	0
12692	1	0	2	0	22	693	0	1	1	0
12692	1	0	4	0	28	1095	0	1	1	0
12772	1	0	1	0	18	1143	0	1	1	0
13012	1	5	8	0	12	621	0	1	1	0
13092	1	0	5	0	22	469	0	1	1	0
13092	1	6	6	0	24	533	0	1	1	0
13093	1	1	7	0	16	967	0	1	1	0
13172	1	0	2	0	22	693	0	1	1	0
13172	1	0	4	0	16	453	0	1	1	0
13252	1	0	1	0	24	1692	0	1	1	0
13492	1	5	8	0	28	2292	0	1	1	0
13572	1	0	5	0	28	749	0	1	1	0
13572	1	6	6	0	22	469	0	1	1	0
13572	1	1	7	0	20	437	0	1	1	0
13652	1	0	2	0	28	1095	0	1	1	0
13652	1	0	4	0	28	1095	0	1	1	0
13732	1	0	1	0	18	1143	0	1	1	0
13972	1	5	8	0	28	2292	0	1	1	0
14052	1	0	5	0	28	749	0	1	1	0
14052	1	6	6	0	24	533	0	1	1	0
14052	1	1	7	0	12	201	0	1	1	0
14132	1	0	2	0	20	645	0	1	1	0
14132	1	0	4	0	22	693	0	1	1	0
14232	1	0	1	0	6	325	0	1	1	0
14452	1	5	8	0	28	2292	0	1	1	0
14532	1	6	6	0	22	693	0	1	1	0
14532	1	1	7	0	8	209	0	1	1	0
14612	1	0	2	0	12	201	0	1	1	0
14612	1	0	4	0	26	621	0	1	1	0
14612	1	0	5	0	26	621	0	1	1	0
14692	1	0	1	0	12	621	0	1	1	0
14932	1	5	8	0	28	2292	0	1	1	0
15012	1	6	6	0	12	301	0	1	1	0
15012	1	1	7	0	18	549	0	1	1	0
15092	1	0	2	0	28	749	0	1	1	0
15092	1	0	4	0	8	137	0	1	1	0
15092	1	0	5	0	28	749	0	1	1	0
15172	1	0	1	0	4	225	0	1	1	0
15412	1	5	8	0	18	1143	0	1	1	0
15492	1	6	6	0	28	1095	0	1	1	0
15492	1	1	7	0	20	645	0	1	1	0
15572	1	0	2	0	28	749	0	1	1	0
15572	1	0	4	0	28	749	0	1	1	0
15572	1	0	5	0	28	749	0	1	1	0
15652	1	0	1	0	26	1908	0	1	1	0
15868	1	1	7	0	10	549	0	1	1	0
15892	1	5	8	0	24	1692	0	1	1	0
15972	1	6	6	0	26	1908	0	1	1	0
16052	1	0	2	0	28	1095	0	1	1	0
16052	1	0	4	0	22	693	0	1	1	0
16132	1	0	1	0	0	85	0	1	1	0
16372	1	5	8	0	24	1692	0	1	1	0
16452	1	6	6	0	28	2292	0	1	1	0
16532	1	0	2	0	26	903	0	1	1	0
16532	1	0	4	0	28	1095	0	1	1	0
16612	1	0	5	0	28	1095	0	1	1	0
16847	1	0	1	0	0	85	0	1	1	0
16852	1	0	1	0	6	153	0	1	0	0
16852	1	5	8	0	28	1095	0	1	1	0
16932	1	6	6	0	22	1431	0	1	1	0
17012	1	0	2	0	6	153	0	1	1	0
17012	1	0	4	0	28	1095	0	1	1	0
17092	1	0	1	0	0	41	0	1	1	0
17092	1	0	5	0	24	807	0	1	1	0
17332	1	5	8	0	26	903	0	1	1	0
17412	1	6	6	0	26	1908	0	1	1	0
17492	1	0	2	0	20	645	0	1	1	0
17492	1	0	4	0	28	1095	0	1	1	0
17572	1	0	1	0	4	105	0	1	1	0
17572	1	0	5	0	26	903	0	1	1	0
17812	1	5	8	0	28	2292	0	1	0	0
17819	1	5	8	0	28	2292	1	0	1	0
17892	1	6	6	0	16	967	0	1	1	0
17972	1	0	2	0	28	1095	0	1	1	0
17972	1	0	4	0	20	645	0	1	1	0
18052	1	0	1	0	0	41	0	1	1	0
18052	1	0	5	0	28	1095	0	1	1	0
18292	1	5	8	0	22	1431	0	1	1	0
18372	1	6	6	0	20	1335	0	1	1	0
18452	1	0	2	0	28	1095	0	1	1	0
18452	1	0	4	0	28	1095	0	1	1	0
18532	1	0	5	0	28	1095	0	1	1	0
18567	1	0	1	0	2	137	0	1	1	0
18772	1	5	8	0	24	1692	0	1	1	0
18852	1	6	6	0	8	437	0	1	1	0
18932	1	0	2	0	28	1095	0	1	1	0
18932	1	0	4	0	28	1095	0	1	1	0
19012	1	0	5	0	20	645	0	1	1	0
19047	1	0	1	0	0	85	0	1	1	0
19252	1	5	8	0	14	807	0	1	1	0
19332	1	6	6	0	6	325	0	1	1	0
19412	1	0	2	0	22	693	0	1	1	0
19412	1	0	4	0	24	807	0	1	1	0
