% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	3	1	283.842	0
0.042	2	6	2	1.41713	0
0.042	1	7	2	5.17535	0
0.043	1	1	3	0.27144	0
0.043	2	5	3	6.08997	0
0.044	1	2	4	531.182	0
0.081	1	3	1	980.11	0
0.082	2	6	2	3.72309	0
0.082	1	7	2	2.53478	0
0.083	1	1	3	1.29313	0
0.083	2	5	3	5.13702	0
0.084	1	2	4	263.943	0
0.121	1	3	1	499.8	0
0.122	2	6	2	10.7079	0
0.122	1	7	2	0.600116	0
0.123	1	1	3	75.6702	0
0.123	2	5	3	0.657682	0
0.124	1	2	4	12.0987	0
0.161	1	3	1	309.714	0
0.162	2	6	2	0.403447	0
0.162	1	7	2	0.250137	0
0.163	2	5	3	9.15548	0
0.164	2	1	4	1.27228	0
0.164	1	2	4	1.04971	0
0.201	1	3	1	678.611	0
0.202	2	6	2	0.943625	0
0.202	1	7	2	0.495207	0
0.203	2	5	3	33.8811	0
0.204	2	1	4	17.839	0
0.204	1	2	4	0.199592	0
0.241	1	3	1	428.984	0
0.242	2	6	2	1.11738	0
0.242	1	7	2	8.71026	0
0.243	2	5	3	36.1054	0
0.244	2	1	4	0.267649	0
0.244	1	2	4	0.136694	0
0.281	1	3	1	117.659	0
0.282	2	6	2	0.832233	0
0.282	1	7	2	9.84904	0
0.283	2	5	3	21.702	0
0.284	2	1	4	1.19033	0
0.284	1	2	4	0.735749	0
0.285	1	4	5	292.122	0
0.321	1	3	1	382.314	0
0.322	2	6	2	2.27728	0
0.322	1	7	2	0.480415	0
0.323	2	5	3	56.068	0
0.324	2	1	4	0.671032	0
0.324	1	2	4	0.349765	0
0.325	1	4	5	519.334	0
0.361	1	3	1	1269.36	0
0.362	2	6	2	5.36212	0
0.362	1	7	2	0.131718	0
0.363	2	5	3	35.6397	0
0.364	2	1	4	2.78484	0
0.364	1	2	4	2.83809	0
0.365	1	4	5	140.047	0
0.401	1	3	1	1365.38	0
0.402	2	6	2	0.0955657	0
0.402	1	7	2	0.127642	0
0.403	2	5	3	18.8673	0
0.404	2	1	4	3.11689	0
0.404	1	2	4	2.45184	0
0.405	1	4	5	98.4397	0
0.441	1	3	1	241.458	0
0.442	2	6	2	0.145379	0
0.442	1	7	2	2.30396	0
0.443	2	5	3	49.7732	0
0.444	2	1	4	0.93543	0
0.444	1	2	4	0.185347	0
0.445	1	4	5	252.536	0
0.481	1	3	1	475.529	0
0.482	2	6	2	1.59728	0
0.482	1	7	2	0.957704	0
0.483	2	5	3	38.5932	0
0.484	2	1	4	1.36269	0
0.484	1	2	4	4.35364	0
0.485	1	4	5	66.5108	0
0.521	1	3	1	80.9556	0
0.522	1	7	2	77.7499	0
0.523	2	5	3	28.2541	0
0.524	2	1	4	7.14594	0
0.524	1	2	4	6.14957	0
0.525	1	4	5	1864.34	0
0.526	1	6	6	65.5164	0
0.561	1	3	1	842.594	0
0.562	1	7	2	145.218	0
0.563	2	5	3	81.6438	0
0.564	1	2	4	274.45	0
0.565	1	4	5	669.738	0
0.566	1	6	6	798.619	0
0.567	1	1	7	356.457	0
0.601	1	3	1	872.561	0
0.602	1	7	2	211.559	0
0.603	2	5	3	18.5499	0
0.604	1	2	4	411.694	0
0.605	1	4	5	207.944	0
0.606	1	6	6	425.633	0
0.607	1	1	7	102.288	0
0.641	1	3	1	269.395	0
0.642	1	7	2	129.491	0
0.643	2	5	3	6.25185	0
0.644	1	2	4	377.09	0
0.645	1	4	5	822.276	0
0.646	1	6	6	210.526	0
0.647	1	1	7	20.0906	0
0.681	1	3	1	609.008	0
0.682	1	7	2	201.76	0
0.683	2	5	3	9.29509	0
0.684	1	2	4	42.3443	0
0.685	1	4	5	473.153	0
0.686	1	6	6	318.827	0
0.687	1	1	7	46.1939	0
0.721	1	3	1	652.208	0
0.722	1	7	2	240.151	0
0.723	2	5	3	10.9006	0
0.724	1	2	4	187.748	0
0.725	1	4	5	655.541	0
0.726	1	6	6	906.937	0
0.727	1	1	7	36.7263	0
0.761	1	3	1	217.948	0
0.762	1	7	2	85.9699	0
0.763	2	5	3	39.7278	0
0.764	1	2	4	71.0358	0
0.765	1	4	5	657.012	0
0.766	1	6	6	2917.61	0
0.767	1	1	7	173.806	0
0.801	1	3	1	192.755	0
0.802	1	7	2	54.9102	0
0.803	2	5	3	9.45319	0
0.804	1	2	4	95.8574	0
0.805	1	4	5	73.5993	0
0.806	1	6	6	844.311	0
0.807	1	1	7	44.7218	0
0.841	1	3	1	939.162	0
0.842	1	7	2	163.761	0
0.843	2	5	3	85.1559	0
0.844	1	2	4	125.62	0
0.845	1	4	5	302.649	0
0.846	1	6	6	846.994	0
0.847	1	1	7	327.493	0
0.881	1	3	1	1667.89	0
0.882	1	7	2	153.171	0
0.884	1	2	4	419.022	0
0.885	1	4	5	129.333	0
0.886	1	6	6	1710.82	0
0.887	1	1	7	667.138	0
0.888	1	5	8	97.59	0
0.921	1	3	1	767.743	0
0.922	1	7	2	284.877	0
0.924	1	2	4	427.834	0
0.925	1	4	5	148.933	0
0.926	1	6	6	64.6912	0
0.927	1	1	7	262.644	0
0.928	1	5	8	88.2572	0
0.961	1	3	1	137.557	0
0.962	1	7	2	606.967	0
0.964	1	2	4	338.827	0
0.965	1	4	5	202.876	0
0.966	1	6	6	2675.31	0
0.967	1	1	7	160.018	0
0.968	1	5	8	115.874	0
1.001	1	3	1	546.689	0
1.002	1	7	2	98.3015	0
1.004	1	2	4	41.877	0
1.005	1	4	5	560.771	0
1.006	1	6	6	77.5044	0
1.007	1	1	7	656.307	0
1.008	1	5	8	260.605	0
1.041	1	3	1	506.456	0
1.042	1	7	2	106.559	0
1.044	1	2	4	104.943	0
1.045	1	4	5	1046.69	0
1.046	1	6	6	208.98	0
1.047	1	1	7	299.862	0
1.048	1	5	8	143.607	0
1.081	1	3	1	146.181	0
1.082	1	7	2	459.631	0
